"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
0,-1.7,-2,-1.9,-2.2
0.96,-2,-2,-1.9,-2.4
1.92,-2.1,-2.8,-2.8,-3.4
2.88,-2,-2.6,-2.4,-3.2
3.84,-2,-2.3,-2.4,-2.5
4.8,-1.8,-1.5,-1.6,-2.3
5.76,-1.9,-1.6,-1.6,-2.2
6.72,-2,-1.7,-1.7,-2.3
7.68,-1.9,-1.8,-1.9,-2.3
8.64,-1.5,-1.7,-2,-2.4
9.6,-1.6,-1.7,-1.7,-2.1
10.56,-1.4,-1.6,-1.6,-1.8
11.52,-1.7,-1.9,-2,-2.4
12.48,-1.7,-1.7,-1.5,-2.1
13.44,-1.8,-1.7,-1.8,-2.1
14.4,-2,-1.8,-1.8,-2.4
15.36,-1.5,-2.1,-1.9,-2.1
16.32,-1.7,-2,-2.6,-2.8
17.28,-1.3,-1.7,-1.8,-2.1
18.24,-1.4,-1.4,-1.8,-2
19.2,-2.1,-1.7,-2.1,-2.6
20.16,-2,-2.2,-2.1,-2.6
21.12,-1.6,-1.5,-1.5,-2.1
22.08,-2.3,-2.1,-1.7,-2.7
23.04,-1.9,-1.5,-1.6,-2.3
24,-2.2,-1.7,-1.9,-2.1
24.96,-1.5,-2,-2.1,-2.4
25.92,-2.5,-1.9,-2.4,-3.1
26.88,-2,-1.7,-2.3,-2.8
27.84,-2.2,-1.6,-2,-2.7
28.8,-2.3,-1.7,-2.2,-2.8
29.76,-1.9,-2.1,-2.1,-2.6
30.72,-1.7,-1.8,-1.8,-2.3
31.68,-1.8,-2,-2.3,-2.6
32.64,-1.4,-1.6,-1.6,-1.9
33.6,-1.7,-2.2,-2.1,-2.8
34.56,-2,-2,-2.2,-2.5
35.52,-2.1,-2.2,-2.4,-3
36.48,-2.1,-2,-2.3,-2.8
37.44,-2.3,-2,-2.4,-3
38.4,-1.9,-1.8,-1.9,-2.6
39.36,-1.5,-1.8,-1.6,-2.2
40.32,-1.8,-1.9,-1.9,-2.5
41.28,-1.5,-1.6,-1.7,-1.9
42.24,-1.2,-1.9,-2.1,-2.3
43.2,-1.2,-1.3,-1.6,-1.8
44.16,-2,-2.1,-1.9,-2.5
45.12,-2,-2.2,-2.1,-2.6
46.08,-2,-2.2,-2,-2.5
47.04,-1.7,-1.9,-1.9,-2.4
48,-1.4,-1.9,-2.3,-2.2
48.96,-1.4,-2.2,-2.6,-2.4
49.92,-2.1,-2.1,-2.1,-2.9
50.88,-1.7,-1.6,-1.9,-2.2
51.84,-1.3,-2.1,-2.2,-2.5
52.8,-1.6,-1.9,-2.2,-2.4
53.76,-1.2,-1.7,-1.7,-2.1
54.72,-1.4,-2.3,-2.4,-2.5
55.68,-2,-1.8,-2,-2.5
56.64,-2.1,-1.9,-2.2,-2.8
57.6,-2,-1.8,-1.9,-2.2
58.56,-2,-1.8,-2,-2.5
59.52,-2.2,-1.8,-2,-3
60.48,-1.7,-1.7,-1.8,-2.3
61.44,-1.8,-2,-2.1,-2.5
62.4,-1.2,-1.5,-1.6,-1.9
63.36,-1.5,-1.6,-1.6,-2.1
64.32,-1.9,-2.1,-2,-2.4
65.28,-1.6,-2.1,-2.1,-2.2
66.24,-1.7,-1.8,-2,-2.5
67.2,-2,-1.9,-2.2,-2.6
68.16,-2.2,-2.1,-2.1,-2.8
69.12,-1.9,-2.2,-2.3,-3.1
70.08,-1.8,-1.9,-1.9,-2.4
71.04,-1.8,-1.8,-1.8,-2.2
72,-2.2,-2.5,-2.8,-3
72.96,-1.9,-1.9,-1.8,-2.2
73.92,-1.6,-1.9,-2,-2.3
74.88,-1.7,-1.8,-1.8,-2.1
75.84,-1.5,-1.9,-2.2,-2.2
76.8,-1.8,-2.1,-2.1,-2.5
77.76,-2.1,-1.8,-1.6,-2.6
78.72,-1.6,-1.9,-1.8,-2.5
79.68,-2.3,-2.2,-1.9,-2.7
80.64,-2.1,-2,-2.1,-2.6
81.6,-1.7,-2.1,-2.2,-2.7
82.56,-1.7,-1.9,-2.1,-2.5
83.52,-1.8,-2.8,-2.7,-3.3
84.48,-2,-2.8,-3.6,-3.9
85.44,-2.2,-2.8,-3,-3.3
86.4,-2,-2.7,-2.5,-3.1
87.36,-2.1,-2.2,-2.2,-2.9
88.32,-2.8,-2.5,-2.6,-3.1
89.28,-2.4,-2.2,-2.2,-2.8
90.24,-2.1,-2,-2,-2.5
91.2,-2,-2.1,-2.1,-2.5
92.16,-2.4,-2.4,-2.5,-2.9
93.12,-2,-1.6,-2.1,-2.6
94.08,-2.4,-2.1,-2.3,-2.8
95.04,-2.5,-2.4,-2.4,-2.9
96,-2,-2,-1.9,-2.7
96.96,-1.8,-1.7,-1.6,-2.4
97.92,-2.7,-2.3,-2.5,-3.4
98.88,-2.7,-2.7,-2.8,-3.3
99.84,-2.6,-2.3,-2.4,-3.1
