"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
0,-1.8,-1.8,-2.3,-2.2
0.96,-2.4,-1.8,-2.3,-2.7
1.92,-2.5,-1.8,-2.1,-2.3
2.88,-2.8,-2.3,-2.9,-2.9
3.84,-2.2,-1.8,-2.2,-2.5
4.8,-2.5,-2,-2.5,-2.6
5.76,-2.7,-2.7,-3.4,-3.2
6.72,-2.6,-2.2,-2.8,-3.1
7.68,-2.4,-1.9,-2.8,-2.9
8.64,-2.3,-2.2,-2.7,-2.8
9.6,-2.5,-2,-2.5,-2.8
10.56,-2,-1.7,-2.3,-2.5
11.52,-2,-2.1,-2.6,-2.6
12.48,-2.6,-2.4,-2.6,-3.2
13.44,-2.7,-2.7,-3.3,-3.5
14.4,-2.6,-2.3,-3.1,-3.1
15.36,-2.7,-2.9,-3.6,-3.3
16.32,-2.4,-2.7,-3.2,-3.3
17.28,-2.1,-2.1,-2.5,-2.8
18.24,-1.9,-2,-2.6,-2.9
19.2,-3,-2.5,-3.2,-3.1
20.16,-2.7,-2.7,-3.3,-3.3
21.12,-3,-2.2,-2.5,-2.9
22.08,-2.3,-2,-2.7,-2.6
23.04,-2.5,-2.6,-3.1,-3.3
24,-2.9,-2.3,-3.1,-3
24.96,-2.3,-2.5,-2.8,-2.8
25.92,-2.9,-2.9,-3.1,-3.2
26.88,-2.7,-2.2,-2.5,-2.4
27.84,-2.1,-2,-2,-2.3
28.8,-2.1,-1.9,-2.2,-2.6
29.76,-2.2,-1.7,-2.2,-2.5
30.72,-2.6,-2.1,-2.4,-2.9
31.68,-2,-2,-2.4,-2.4
32.64,-2.1,-1.9,-1.9,-2.4
33.6,-3,-3.1,-3.2,-3.6
34.56,-2.6,-2.6,-3,-3
35.52,-2.6,-2.5,-2.8,-2.9
36.48,-2.9,-2.7,-3.3,-3.1
37.44,-2.2,-2.2,-2.6,-2.8
38.4,-2.7,-2.6,-2.8,-3
39.36,-2.4,-2.5,-3.1,-3.1
40.32,-2.7,-2.2,-2.8,-3.2
41.28,-2.8,-2.4,-2.5,-3
42.24,-2.8,-3,-2.8,-3.3
43.2,-2.6,-3.1,-2.9,-3
44.16,-2.5,-2.3,-2.2,-2.6
45.12,-2.9,-2.7,-2.8,-3.3
46.08,-2.5,-2.2,-2.5,-2.5
47.04,-2.1,-2.2,-2.5,-2.7
48,-2,-1.8,-1.7,-2.1
48.96,-2.1,-1.8,-1.9,-2.4
49.92,-2.7,-1.9,-2.4,-2.7
50.88,-2.8,-2.5,-2.7,-2.9
51.84,-1.8,-2.5,-2.7,-2.7
