"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
0,-1.6,-1.9,-1.9,-1.9
0.96,-1.9,-2.2,-2.3,-2.1
1.92,-2.2,-2.2,-1.9,-2.2
2.88,-1.6,-2,-1.7,-2
3.84,-2,-1.9,-2.5,-2.5
4.8,-2,-2.1,-2.3,-2.4
5.76,-1.3,-1.6,-1.8,-1.8
6.72,-1.9,-2.1,-1.7,-2
7.68,-1.4,-2,-1.8,-1.7
8.64,-2.2,-2.5,-2.3,-2.5
9.6,-1.7,-2,-2,-2
10.56,-2.7,-2.5,-2.8,-3.1
11.52,-2.1,-2.5,-2.5,-2.6
12.48,-2,-2.3,-2.2,-2.4
13.44,-1.6,-2,-1.8,-1.9
14.4,-2.2,-2.4,-2.2,-2.6
15.36,-1.7,-2.2,-2.1,-2.2
16.32,-1.7,-2.1,-2,-2
17.28,-1.5,-2.1,-2,-1.9
18.24,-2.1,-2.2,-2.4,-2.4
19.2,-1.7,-2.1,-2.1,-2
20.16,-2,-2.2,-2.5,-2.3
21.12,-1.7,-2.1,-2.2,-2
22.08,-2,-2.6,-2.5,-2.4
23.04,-2.2,-2.4,-2.2,-2.4
24,-1.7,-2,-2.2,-2.2
24.96,-2.4,-2.8,-2.7,-2.8
25.92,-2,-2.3,-2.1,-2.4
26.88,-2.2,-2.7,-2.8,-2.7
27.84,-2,-2.4,-2.7,-2.5
28.8,-2,-2.3,-2.2,-2.4
29.76,-1.8,-2.4,-2.3,-2.2
30.72,-1.9,-2.4,-2.2,-2.3
31.68,-2,-2.5,-2.4,-2.4
32.64,-1.5,-2.1,-1.9,-1.9
33.6,-1.9,-2.3,-2.2,-2.1
34.56,-2.1,-2.6,-2.3,-2.4
35.52,-1.8,-2.3,-2.3,-2.3
36.48,-2.3,-2.9,-2.7,-2.6
37.44,-1.7,-1.7,-2,-2
38.4,-1.8,-2,-2,-2
39.36,-2.1,-2,-2.1,-2.1
40.32,-1.7,-2,-1.7,-1.7
41.28,-2.1,-2.4,-2.2,-2.3
42.24,-1.7,-2.3,-2.1,-2
43.2,-1.8,-2.4,-2.2,-2.2
44.16,-1.5,-1.6,-1.7,-1.8
45.12,-2.1,-2.5,-2.5,-2.3
46.08,-1.8,-2.1,-2.1,-2.1
47.04,-2,-2.8,-2.5,-2.5
48,-1.7,-1.9,-2,-2.1
48.96,-1.9,-2.2,-2,-2.2
49.92,-1.6,-1.7,-1.6,-2
50.88,-1.5,-2.1,-1.9,-1.9
51.84,-1.7,-2.6,-2.7,-2.4
52.8,-1.6,-1.9,-1.7,-1.9
53.76,-1.9,-2.1,-1.9,-2
54.72,-2,-2.5,-2.4,-2.3
55.68,-1.9,-2,-2.4,-2.1
56.64,-2.1,-2.3,-2.3,-2.4
57.6,-2.4,-2.8,-2.6,-2.7
58.56,-1.8,-2.3,-2,-2.2
59.52,-1.6,-2.2,-2.1,-2.1
60.48,-1.7,-1.9,-1.9,-2
61.44,-2.1,-2.8,-2.7,-2.7
62.4,-1.5,-2.1,-1.9,-2.1
63.36,-1.6,-2,-2.1,-1.9
64.32,-1.9,-2.3,-2.2,-2.3
65.28,-1.6,-1.8,-1.5,-1.8
66.24,-1.5,-2,-2,-2
67.2,-1.4,-2.1,-1.7,-1.8
68.16,-1.8,-1.8,-2,-1.8
69.12,-1.6,-2.5,-2.3,-2.2
70.08,-1.4,-2.1,-1.8,-1.9
71.04,-1.4,-2,-1.9,-1.9
72,-1.7,-1.8,-2,-2
72.96,-1.4,-2,-2,-1.9
73.92,-1.5,-1.6,-1.3,-1.6
74.88,-1.6,-2,-1.9,-1.8
75.84,-1.5,-1.8,-1.7,-1.8
76.8,-1.2,-1.9,-1.9,-1.7
77.76,-1.4,-2.1,-1.8,-1.8
78.72,-1.2,-2.1,-2,-1.8
79.68,-1.6,-2.2,-2.3,-2.1
80.64,-1.5,-2.3,-1.9,-2
81.6,-1.7,-1.8,-2,-2
82.56,-1.9,-2.4,-2.1,-2.3
83.52,-1.8,-2.4,-2.4,-2.4
84.48,-2.1,-2.3,-2.1,-2.2
85.44,-1.8,-2.4,-2.1,-2
86.4,-1.4,-2,-2,-1.9
87.36,-1.8,-2,-2.1,-2.2
88.32,-1.6,-2.5,-2.1,-2
89.28,-1.5,-2.1,-2,-2
90.24,-1.6,-1.9,-2,-2
91.2,-2.2,-2.2,-2.6,-2.4
92.16,-1.7,-2.4,-2.2,-2.3
93.12,-1.5,-2.1,-2.2,-2.2
94.08,-1.8,-2.7,-2.6,-2.8
95.04,-1.6,-2,-2,-2.1
96,-1.6,-2.2,-2,-2.1
96.96,-1.4,-2.1,-1.9,-2
97.92,-1.9,-2.4,-2,-2.1
98.88,-1.5,-2.1,-2.1,-2.1
99.84,-1.9,-2.7,-2.5,-2.4
100.8,-1.3,-1.9,-1.8,-1.9
101.76,-1.4,-2,-2.1,-2
102.72,-1.7,-2.3,-2.1,-2.2
103.68,-1.5,-2.2,-1.9,-1.9
104.64,-2.1,-2.5,-2.4,-2.3
105.6,-1.5,-1.8,-1.8,-1.7
106.56,-1.9,-2.5,-2.2,-2.4
107.52,-1.6,-2.2,-1.8,-1.9
108.48,-1.8,-2.4,-2.4,-2.2
109.44,-1.7,-2.3,-1.9,-2
110.4,-1.8,-2.8,-2.5,-2.4
111.36,-1.8,-2,-1.9,-1.8
112.32,-1.7,-2.7,-2.8,-2.6
113.28,-1.6,-2.3,-2.2,-2.1
114.24,-1.7,-2.2,-2.2,-2.2
115.2,-1.7,-2.3,-2,-2.1
116.16,-1.7,-2.5,-2.4,-2.3
117.12,-1.8,-2.3,-2.1,-2.2
118.08,-1.9,-2.4,-2.4,-2.6
119.04,-1.8,-2.2,-2.1,-2.1
120,-1.7,-2.1,-2,-2.2
120.96,-1.7,-2.4,-2.4,-2.4
121.92,-1.6,-2.1,-2,-1.9
122.88,-1.7,-2.2,-2,-1.9
123.84,-1.5,-2.1,-2,-2.1
124.8,-1.8,-2.1,-2.4,-2.3
125.76,-1.8,-2.2,-2.1,-2.2
126.72,-1.9,-2.3,-2.4,-2.4
127.68,-1.6,-2.2,-2.2,-2.4
128.64,-2.4,-2.3,-2.5,-2.7
129.6,-2.2,-2.8,-2.5,-2.7
130.56,-1.6,-2.2,-1.9,-1.9
131.52,-1.7,-2.5,-2.3,-2.5
132.48,-1.6,-1.8,-1.7,-1.9
133.44,-1.4,-2,-1.7,-2
134.4,-2,-2.3,-2.3,-2.4
135.36,-1.8,-2,-2.2,-2.3
136.32,-1.9,-2.1,-2.4,-2.5
137.28,-1.7,-2.2,-2.1,-2.2
138.24,-1.7,-2,-1.9,-1.7
139.2,-1.7,-2,-2.2,-2.4
140.16,-1.5,-1.8,-1.8,-2
141.12,-2.3,-2.5,-2.7,-2.7
142.08,-1.8,-1.8,-2.2,-1.9
143.04,-1.9,-2.5,-2.3,-2.4
144,-2,-2.6,-2.5,-2.3
144.96,-1.8,-2.5,-2.4,-2.5
145.92,-2,-2,-2.3,-2.5
146.88,-2.1,-2.5,-2.4,-2.5
147.84,-2.3,-2.5,-2.6,-2.7
148.8,-1.7,-2,-2.2,-2
149.76,-1.7,-2.4,-2.4,-2.3
150.72,-1.9,-2.2,-2.3,-2.3
151.68,-1.9,-2.4,-2.5,-2.5
152.64,-1.3,-2.2,-2.5,-2
153.6,-1.8,-2,-2,-2.1
154.56,-1.8,-2.3,-2.3,-2.4
155.52,-1.5,-2.5,-2.6,-2.4
156.48,-1.6,-2.3,-2.1,-2
157.44,-1.9,-2.3,-2.2,-2.3
158.4,-1.5,-2.1,-2.1,-1.9
159.36,-1.5,-2,-2,-2
160.32,-1.8,-2.6,-2.2,-2.3
161.28,-1.9,-2.3,-2.3,-2.4
162.24,-1.5,-1.9,-2,-2
163.2,-1.7,-1.8,-1.9,-2
164.16,-1.4,-1.8,-1.8,-1.6
165.12,-1.6,-1.9,-1.7,-2.1
166.08,-2,-2.4,-2.1,-2.3
167.04,-2.1,-2.4,-2.5,-2.5
168,-1.9,-2.6,-2.5,-2.5
168.96,-1.8,-2.3,-2.3,-2.4
169.92,-1.5,-1.7,-1.8,-1.7
170.88,-1.2,-1.8,-1.8,-1.8
171.84,-1.4,-1.9,-2.1,-2
172.8,-1.5,-1.7,-1.7,-1.8
173.76,-1.4,-1.9,-1.7,-1.7
174.72,-1.8,-2.1,-2,-2.1
175.68,-1.7,-2.2,-1.9,-2
176.64,-1.4,-1.7,-1.6,-1.7
177.6,-1.6,-2,-1.9,-2
178.56,-1.7,-2.2,-2.2,-2.2
179.52,-1.6,-2,-2.1,-2.1
180.48,-1.8,-2.1,-2.4,-2.2
181.44,-1.3,-2.4,-2.4,-2.3
182.4,-1.5,-2.1,-1.9,-1.9
183.36,-1.6,-2,-2,-2
184.32,-2.3,-2.6,-2.7,-3
185.28,-1.9,-2.2,-2.6,-2.6
186.24,-1.9,-2.3,-2.6,-2.7
187.2,-2,-2.2,-2.4,-2.2
188.16,-1.8,-2.4,-2.2,-2.2
189.12,-1.6,-2,-2,-2
190.08,-2.1,-2.6,-2.5,-2.5
191.04,-1.8,-2.1,-2.3,-2.1
192,-1.8,-2.3,-2.3,-2.3
192.96,-1.8,-1.9,-2,-2.1
193.92,-1.6,-2.1,-2.1,-2.2
194.88,-1.7,-2.2,-2,-2.1
195.84,-1.7,-2.1,-2.2,-2.2
196.8,-2,-2.5,-2.4,-2.5
197.76,-1.9,-2.5,-2.5,-2.4
198.72,-1.6,-2.4,-2.2,-2.2
199.68,-1.7,-2.1,-2.1,-2
200.64,-1.6,-1.9,-1.9,-1.9
201.6,-1.7,-2.2,-2,-2
202.56,-1.7,-2.4,-2.5,-2.3
203.52,-1.5,-2.1,-2,-2
204.48,-1.5,-1.7,-1.8,-1.7
205.44,-1.9,-2.3,-2.2,-2.4
206.4,-1.7,-2.2,-1.8,-1.9
207.36,-1.6,-2,-1.9,-1.9
208.32,-1.9,-1.9,-2,-2.1
209.28,-1.4,-1.8,-1.6,-1.5
210.24,-1.6,-2,-1.8,-2
211.2,-1.7,-2.7,-2.3,-2.6
212.16,-1.7,-2.2,-2.2,-2.4
213.12,-1.5,-2.1,-1.9,-2
214.08,-2.3,-3.1,-3.1,-3.3
215.04,-1.6,-2,-2.1,-2.1
216,-1.3,-2,-2,-1.9
216.96,-1.5,-2.5,-2.2,-2.2
217.92,-1.9,-2,-2.4,-2.3
218.88,-1.5,-2.3,-2.2,-2.2
219.84,-1.6,-2.2,-2.2,-2.2
220.8,-1.4,-1.6,-1.8,-1.9
221.76,-1.6,-2.2,-2.2,-2.3
222.72,-1.8,-2.3,-2.3,-2.3
223.68,-1.5,-1.9,-1.9,-2
224.64,-1.7,-1.9,-2.1,-2.1
225.6,-1.6,-2,-2,-2
226.56,-1.8,-2.5,-2.3,-2.1
227.52,-1.8,-2.3,-2.2,-2
228.48,-1.5,-2.1,-2,-2.1
229.44,-1.5,-2,-2.2,-2.1
230.4,-1.5,-2.1,-2.2,-2.1
231.36,-1.3,-1.9,-1.9,-1.8
232.32,-1.6,-2.2,-2.2,-2.4
233.28,-1.5,-1.9,-1.9,-1.8
234.24,-1.6,-2.2,-1.9,-1.9
235.2,-2.1,-2.8,-3,-2.8
236.16,-1.7,-2.4,-2.4,-2.4
237.12,-1.7,-2.2,-2.1,-2.4
238.08,-1.5,-1.7,-1.8,-1.9
239.04,-2.2,-2.8,-2.7,-2.8
240,-1.5,-2,-1.7,-1.7
240.96,-1.6,-1.9,-2,-2
241.92,-1.4,-1.8,-2.1,-1.8
242.88,-1.4,-2.1,-1.9,-1.9
243.84,-1.5,-2.1,-2.4,-2.1
244.8,-1.6,-2.2,-2.3,-2.2
245.76,-1.5,-2.2,-2.3,-2.2
246.72,-1.7,-2.2,-2.2,-2.2
247.68,-1.7,-2.1,-2.3,-2.3
248.64,-1.6,-1.9,-1.7,-1.8
249.6,-1.4,-1.8,-1.5,-1.6
250.56,-1.4,-1.8,-1.7,-1.7
251.52,-1.8,-2.1,-1.8,-1.9
252.48,-1.4,-1.8,-1.8,-1.8
253.44,-1.4,-1.6,-1.8,-1.8
254.4,-1.5,-1.8,-2.1,-2
255.36,-1.6,-2.1,-2,-2.1
256.32,-1.5,-1.8,-1.6,-1.9
257.28,-1.6,-1.8,-1.7,-1.8
258.24,-1.2,-1.9,-2.1,-1.9
259.2,-1.6,-2.4,-2.2,-2.1
260.16,-1.6,-2.2,-2.1,-2.1
261.12,-1.3,-1.9,-1.8,-1.8
262.08,-1.9,-2.2,-2,-2.1
263.04,-1.8,-2,-2,-2
264,-1.6,-2.1,-2,-2
264.96,-1.3,-1.9,-1.6,-1.7
265.92,-1.7,-2.1,-2.1,-2
266.88,-1.5,-2.3,-1.9,-1.9
267.84,-1.7,-2.3,-2.3,-2.3
268.8,-1.4,-2,-2.1,-2.1
269.76,-1.7,-2,-2.1,-2
270.72,-1.9,-2,-2.3,-2.3
271.68,-1.7,-1.9,-1.7,-1.8
272.64,-1.6,-2.4,-2.2,-2.1
273.6,-1.6,-1.9,-1.8,-2
274.56,-1.9,-2.1,-2.3,-2.5
275.52,-1.4,-1.9,-1.9,-1.8
276.48,-1.6,-1.8,-1.7,-2.1
277.44,-1.5,-1.9,-1.8,-1.9
278.4,-1.6,-2,-2,-2
279.36,-1.8,-2.1,-1.9,-2
280.32,-1.6,-2.3,-2,-2.2
281.28,-1.3,-1.8,-1.7,-1.7
282.24,-1.9,-2.5,-2.5,-2.6
283.2,-1.8,-2.1,-2,-2.2
284.16,-2.2,-2.3,-2.6,-2.6
285.12,-1.6,-1.9,-1.9,-1.9
286.08,-2,-2.1,-2.4,-2.4
287.04,-1.6,-1.7,-1.9,-2
288,-2,-2.1,-2.2,-2.1
288.96,-1.4,-1.6,-1.6,-1.7
289.92,-1.7,-2.1,-1.8,-1.9
290.88,-1.4,-1.6,-1.8,-1.8
291.84,-1.5,-1.7,-1.6,-1.9
292.8,-1.6,-2.4,-2.1,-2.2
293.76,-1.5,-2,-2,-2.2
294.72,-1.5,-1.7,-1.5,-1.8
295.68,-1.5,-1.7,-1.9,-1.9
296.64,-1.7,-2,-1.9,-2
297.6,-1.5,-2,-1.8,-1.9
298.56,-1.8,-2.5,-2.2,-2.4
299.52,-1.9,-2.3,-2,-2.2
300.48,-1.9,-2.3,-2.3,-2.5
301.44,-1.7,-2.5,-2.3,-2.2
302.4,-1.5,-2,-2,-2
303.36,-1.8,-2.4,-2.5,-2.5
304.32,-2,-2.5,-2.5,-2.5
305.28,-1.7,-2.2,-2,-2.2
306.24,-1.7,-2,-1.9,-2.2
307.2,-1.6,-2,-2.1,-2.1
