"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
0,-1.2,-1.3,-1.7,-1.7
0.96,-2,-2.1,-2.7,-2.6
1.92,-2.1,-2.8,-3,-2.9
2.88,-2,-2.2,-2.6,-2.5
3.84,-2,-2.3,-2.8,-2.6
4.8,-2.3,-2.9,-3.1,-3
5.76,-1.9,-2.2,-2.5,-2.4
6.72,-2.3,-2.8,-3,-3
7.68,-2.2,-2.5,-2.6,-2.8
8.64,-1.9,-2.3,-2.6,-2.5
9.6,-2.3,-2.4,-2.8,-2.8
10.56,-1.9,-2,-2.5,-2.5
11.52,-2.1,-2.4,-2.6,-2.8
12.48,-2.1,-2,-2.8,-2.8
13.44,-2.1,-2.7,-2.9,-2.8
14.4,-1.8,-2,-2.1,-2.1
15.36,-2,-2.7,-2.6,-3
16.32,-2,-2.3,-2.5,-2.4
17.28,-2.2,-2.6,-3,-2.9
18.24,-2.4,-2.7,-2.8,-2.9
19.2,-2.5,-2.5,-2.9,-2.8
20.16,-2,-2,-2.2,-2.3
21.12,-2,-2.2,-2.6,-2.5
22.08,-2.4,-2.7,-3,-3
23.04,-2,-2.8,-3,-3
24,-2.2,-2,-2.5,-2.7
24.96,-2.1,-2.2,-2.7,-2.5
25.92,-2.5,-2.2,-2.5,-2.3
26.88,-2.8,-2.8,-3.2,-2.7
27.84,-2.6,-3.2,-2.8,-2.9
28.8,-2.4,-2.2,-2.7,-2.6
29.76,-3.2,-3.2,-3.7,-3.4
30.72,-2.6,-2.7,-2.9,-2.9
31.68,-2.3,-2.4,-3.1,-2.7
32.64,-2.1,-2.7,-3.1,-3
33.6,-3.1,-3.7,-4.1,-3.6
34.56,-3.4,-3.3,-3.6,-3.2
35.52,-2.1,-2.1,-2.3,-2
36.48,-3.4,-3.3,-3.4,-3.3
37.44,-3.5,-3.3,-3.5,-3.3
38.4,-2.8,-2.4,-2.3,-2.7
39.36,-2.7,-3,-3.5,-3.3
40.32,-3.3,-3.2,-3.7,-3.4
41.28,-3.4,-3.3,-3.3,-3.2
42.24,-3.1,-3,-3.1,-3
43.2,-3,-3.2,-3.5,-3.3
44.16,-2.4,-2.6,-2.7,-2.7
45.12,-2.7,-2.7,-3.1,-2.9
46.08,-2.8,-2.9,-3,-2.8
47.04,-2.5,-3.1,-3.2,-3
