"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
0,-1.9,-2.1,-2.6,-2.3
0.96,-2.3,-3,-3.1,-2.9
1.92,-2.4,-2.6,-2.7,-2.9
2.88,-2.1,-2.5,-2.6,-2.6
3.84,-2.9,-2.5,-3.2,-3
4.8,-2,-1.9,-1.9,-2.4
5.76,-2.6,-2.4,-2.7,-2.8
6.72,-1.9,-1.8,-2,-2
7.68,-1.9,-2.2,-2.2,-2.4
8.64,-2.1,-2.2,-2.4,-2.5
9.6,-2.1,-2.4,-2.7,-2.4
10.56,-1.9,-2,-2.1,-2.2
11.52,-1.9,-2,-2.4,-2.3
12.48,-2.4,-2.6,-2.8,-2.6
13.44,-2.3,-2.5,-2.8,-2.6
14.4,-2.1,-2.2,-2.4,-2.3
15.36,-2.5,-2.3,-2.8,-2.7
16.32,-2.1,-2.5,-2.8,-2.8
17.28,-1.9,-2.1,-2.1,-2.2
18.24,-2.1,-2.3,-2.4,-2.3
19.2,-1.5,-2,-2,-2.1
20.16,-3,-3,-2.9,-2.8
21.12,-1.8,-2,-1.9,-2.1
22.08,-1.7,-2,-2.1,-2.1
23.04,-2.1,-2.4,-2.2,-2
24,-1.9,-1.9,-2.1,-2.2
24.96,-2.4,-2.6,-2.9,-2.7
25.92,-1.4,-1.6,-1.4,-1.6
26.88,-2.2,-2.5,-2.5,-2.4
27.84,-1.9,-2.3,-2.3,-2.2
28.8,-1.9,-2.2,-1.9,-2
29.76,-1.7,-2.3,-2.3,-2.5
30.72,-2,-2.1,-1.9,-2.3
31.68,-2,-2.2,-1.9,-2.3
32.64,-2,-2.3,-2.2,-2.4
33.6,-2.2,-2.2,-2.4,-2.6
34.56,-1.5,-1.8,-1.8,-1.8
35.52,-2.1,-2,-2.2,-2.3
36.48,-1.6,-1.7,-1.6,-2
37.44,-1.8,-1.8,-1.8,-1.9
38.4,-1.6,-2,-2,-2.1
39.36,-1.5,-1.6,-1.2,-1.5
40.32,-1.8,-1.9,-1.5,-1.9
