start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-3,-3.1,-3.1,-3.1
0.96,-2.3,-2.9,-2.3,-2.5
1.92,-2.4,-2.7,-2.4,-2.5
2.88,-3.2,-3.2,-3,-2.8
3.84,-3.1,-3.5,-3.1,-3
4.8,-3.8,-4.5,-4.1,-3.4
5.76,-3.1,-3.3,-3,-2.9
6.72,-3.3,-3.4,-3.1,-3
7.68,-3.2,-3.6,-3.1,-3.1
8.64,-3.4,-3.5,-3.3,-3.1
9.6,-3,-2.8,-2.8,-2.8
10.56,-2.5,-2.7,-2.3,-2
11.52,-2.7,-2.9,-2.8,-2.5
12.48,-3,-3.2,-3,-2.8
13.44,-3,-3,-2.8,-2.6
14.4,-2.4,-3.1,-2.8,-2.2
15.36,-2.2,-2.5,-2,-2.2
16.32,-2.5,-3,-2.4,-2.1
17.28,-3.2,-3.7,-3,-3.2
18.24,-3.4,-3.2,-3,-3
19.2,-3,-3.3,-2.5,-2.8
20.16,-3.6,-3.9,-3.8,-3.1
21.12,-3.5,-3.5,-3.2,-2.9
22.08,-2.2,-2.7,-2.4,-2.2
23.04,-2.3,-2.4,-2,-1.8
24,-2.9,-3.4,-2.7,-2.6
24.96,-3.3,-3.7,-3.2,-3.1
25.92,-2.4,-3.1,-2.6,-2.1
26.88,-3.1,-3.5,-3.3,-2.9
27.84,-2.7,-2.7,-2.5,-2.6
28.8,-2.7,-3,-2.7,-2.2
29.76,-3.4,-3.7,-3.4,-2.6
30.72,-4.4,-4.3,-4.4,-4.4
31.68,-3.3,-3.4,-3.1,-3.2
32.64,-2.6,-2.9,-2.6,-2.6
33.6,-3.2,-2.9,-2.7,-3
34.56,-2.4,-2.4,-2.5,-2.2
35.52,-2.4,-2.8,-2.5,-2.2
36.48,-2.6,-3.2,-2.6,-2.3
37.44,-3,-3.7,-3,-2.9
38.4,-2.9,-3.9,-3.2,-3.2
39.36,-2.3,-2.6,-2.4,-2.1
40.32,-2.6,-2.9,-2,-2.1
41.28,-2.4,-2.5,-2.3,-2.3
42.24,-3.5,-3.8,-3.4,-3
43.2,-3.5,-3.9,-3.7,-4
44.16,-2.9,-2.8,-2.6,-2.9
45.12,-3.7,-3.9,-3.9,-3.9
46.08,-3.5,-3.6,-3.4,-3.4
47.04,-3.2,-3.3,-3.4,-3
48,-2.5,-2.7,-2.6,-2.6
48.96,-3.5,-3.4,-3.3,-3.1
49.92,-2.5,-2.3,-2.5,-2.4
50.88,-2.6,-2.5,-2.1,-2.6
51.84,-2.8,-3,-2.9,-2.9
52.8,-3,-3.6,-3.4,-2.9
53.76,-3.7,-3.7,-3.5,-3.7
54.72,-3.5,-3.4,-3.4,-3.6
