start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.6,-2.4,-2,-2.4
0.96,-3.2,-4.4,-3.3,-3.3
1.92,-3.2,-4.4,-3.6,-3.2
2.88,-2.5,-3.3,-2.8,-2.3
3.84,-3,-3.9,-3.1,-3
4.8,-4.5,-6.3,-5.5,-4.9
5.76,-3,-4,-3.2,-3.1
6.72,-2.9,-3.8,-3.1,-3.4
7.68,-2.8,-3.4,-2.6,-2.7
8.64,-2.6,-3.1,-2.6,-2.8
9.6,-2.7,-3.4,-2.8,-3.1
10.56,-3.4,-3.9,-3.6,-3.6
11.52,-3,-3,-3,-3.3
12.48,-4,-5.3,-4.2,-3.3
13.44,-3.2,-4.5,-3.3,-3.6
14.4,-2.5,-3.4,-2.8,-2.9
15.36,-2.3,-2.6,-2.2,-2.7
16.32,-3.1,-4.2,-3.3,-3.2
17.28,-2.8,-2.6,-2.5,-2.6
18.24,-3.6,-4.9,-4.1,-3.6
19.2,-4.1,-5.2,-4.6,-3.8
20.16,-4.2,-5.5,-4.1,-4.2
21.12,-3.1,-4.2,-3.5,-3.3
22.08,-3,-3,-2.9,-3
23.04,-3.5,-4.4,-3.7,-3
24,-3.1,-3,-3,-3
24.96,-3.4,-4.1,-3.6,-3.4
25.92,-3.2,-3.9,-3,-3
26.88,-3.4,-4,-3.2,-2.9
27.84,-3.1,-3.6,-3.2,-3.2
28.8,-2.8,-3.4,-2.9,-3.5
29.76,-4.2,-5.7,-4.5,-3.9
30.72,-3.4,-4,-2.7,-2.8
31.68,-3.9,-5.3,-4,-4.1
32.64,-4.2,-5.2,-3.9,-3.4
33.6,-3.1,-4.3,-3.2,-2.9
34.56,-3.6,-4.7,-3.3,-3.2
35.52,-3.2,-4.1,-3.3,-3.2
36.48,-3.5,-4.7,-3.2,-3.2
37.44,-2.3,-2.8,-2.3,-2.3
38.4,-3.2,-3.9,-3.3,-3.2
39.36,-2.9,-3.4,-3.1,-3.1
40.32,-2.6,-2.9,-2.9,-2.8
41.28,-3.4,-4.1,-3.6,-3.6
42.24,-3,-3.8,-3.2,-3.6
43.2,-3.7,-5.1,-4.3,-3.7
44.16,-3.6,-4.5,-4,-3.4
45.12,-4.1,-4.9,-4.5,-4.2
46.08,-2.9,-3.6,-3,-3
47.04,-3.3,-3.7,-3.1,-3.2
48,-2.9,-3,-2.8,-2.9
48.96,-2.6,-3.1,-2.5,-2.5
49.92,-2.9,-3,-2.8,-2.9
50.88,-3.5,-4.3,-3.8,-3.9
51.84,-2.9,-3.5,-2.5,-2.6
52.8,-3,-3.6,-3.4,-3.8
53.76,-3.8,-4.9,-3.8,-3.8
54.72,-2.4,-3.1,-2.4,-2.5
55.68,-4.5,-5.6,-4.3,-3.9
56.64,-5.4,-6.7,-6,-4.3
57.6,-4.4,-5.7,-5,-4.1
58.56,-5.6,-6.5,-5.8,-4.1
59.52,-3.5,-4.6,-3.8,-3.4
60.48,-2.8,-3.3,-2.6,-2.7
61.44,-3.5,-3.9,-3.7,-3.9
62.4,-3,-3.6,-3.1,-3.5
63.36,-3.5,-4.1,-3.8,-3.5
64.32,-3.9,-5,-4.2,-3.8
65.28,-4.4,-5.4,-4.8,-4
66.24,-2.7,-3.3,-2.5,-2.4
67.2,-3.4,-4,-3.6,-3.6
68.16,-2.8,-3.3,-2.8,-3.1
69.12,-3,-3.7,-3.2,-3.2
70.08,-3.3,-3.3,-3.3,-3.2
71.04,-3.7,-5.2,-4.5,-3.5
72,-4.1,-5.2,-4.6,-3.7
72.96,-4.1,-5.4,-4.5,-4
73.92,-5.1,-6.6,-5.5,-4.6
74.88,-3.8,-5.1,-4.1,-3.7
75.84,-2.8,-2.7,-2.5,-3
76.8,-3.2,-3.4,-3.5,-3.8
77.76,-2.3,-2.7,-2.6,-2.5
78.72,-3.2,-3.2,-3.3,-3.5
79.68,-3.2,-4.1,-3,-3
80.64,-4.4,-6,-5.2,-4
81.6,-5.9,-7.2,-6.3,-5
82.56,-4.2,-5.7,-5.3,-4.4
83.52,-3.1,-3.1,-2.9,-2.9
84.48,-2.3,-2.5,-2.4,-2.3
85.44,-3.3,-3.6,-3.5,-3.8
86.4,-3,-3,-3,-3.3
87.36,-3.2,-3.5,-3,-3.4
88.32,-4,-5,-4.2,-3.3
89.28,-3.8,-4.9,-4.1,-3.3
90.24,-3.9,-5,-4.4,-3.4
91.2,-3.2,-4,-3.4,-3.7
92.16,-3.6,-4,-4,-3.9
93.12,-2.6,-2.9,-2.6,-2.9
94.08,-3.4,-4.3,-3.8,-3.6
95.04,-3,-4,-3.1,-3.3
96,-4.4,-5.8,-4.4,-4.2
96.96,-3.8,-4.4,-3.3,-3.2
97.92,-3.5,-4.2,-3.7,-3.6
98.88,-3.5,-4.8,-4.1,-3.9
99.84,-3.9,-4,-3.9,-3.5
100.8,-3,-4.1,-3.4,-3
101.76,-2.2,-2.7,-2.6,-2.8
102.72,-3.6,-4.6,-4.1,-3.6
103.68,-3.3,-4.3,-3.4,-2.9
104.64,-3.9,-4.2,-3.5,-3.1
105.6,-3.1,-3.4,-3.5,-3.3
106.56,-3.1,-3.4,-3,-3.1
107.52,-3.8,-4.8,-4.3,-3.7
108.48,-3,-3.9,-3,-3.5
109.44,-3.8,-4,-3.9,-4.2
110.4,-2.3,-2.8,-2.5,-2.5
111.36,-2.6,-2.9,-2.9,-2.8
112.32,-3.7,-4.6,-4.1,-3.6
113.28,-3.7,-5.3,-3.8,-3.9
114.24,-3.5,-4.5,-3.7,-3.7
115.2,-3.4,-4.2,-3.7,-3.4
116.16,-2.6,-2.4,-2.6,-2.9
117.12,-2.9,-3.4,-2.9,-3.2
118.08,-2.6,-2.7,-2.5,-2.8
119.04,-3.3,-3.6,-3.7,-3.4
120,-3.6,-4.1,-3.5,-3.2
120.96,-4,-4.7,-4,-4
121.92,-2.5,-3.5,-2.6,-2.5
