start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.2,-2.6,-2.6,-0.1
0.96,-3.6,-3.9,-3.6,-0.3
1.92,-7.1,-7.6,-6.4,1.4
2.88,-3.4,-3.9,-3.4,0.1
3.84,-3.2,-3.9,-3.4,0.1
4.8,-4.2,-5.2,-4.4,0.2
5.76,-2.5,-3.2,-2.4,-1.4
6.72,-2.8,-4.2,-3.4,-0.4
7.68,-2,-2.4,-1.8,-1.5
8.64,-6,-6.9,-6.2,1.2
9.6,-2.1,-2.8,-1.9,-2.1
10.56,-3.4,-2.9,-2.8,-2.6
11.52,-2.7,-3.4,-2.5,-3.2
12.48,-4.1,-3.8,-3.7,-4.7
13.44,-3.5,-3.4,-3.5,-4
14.4,-3.3,-3.6,-2,-3
15.36,-2.7,-3.2,-2.2,-3
16.32,-1.6,-2.1,-1.4,-1.7
17.28,-1.9,-2.6,-1.9,-1.7
18.24,-2.5,-3.1,-2.6,-2.6
19.2,-2.3,-2.6,-1.8,-1.4
20.16,-2.6,-3.3,-1.9,-2.3
21.12,-2.7,-3.1,-2.4,-2.9
22.08,-2.5,-2.9,-2.2,-2.3
23.04,-2.5,-3.3,-2.2,-2.9
24,-3,-3,-2.8,-3.1
24.96,-2.4,-2.8,-2.1,-2.2
25.92,-2.5,-3.1,-2.6,-3
26.88,-3.6,-5,-4.2,0
27.84,-2.9,-3.7,-3.3,-0.5
28.8,-2.5,-2.9,-2.7,-1.3
29.76,-2.6,-3.2,-2.4,-0.9
30.72,-2,-2.2,-1.8,-1.3
31.68,-2.7,-3.8,-3.2,-1
32.64,-3.6,-4.8,-4,-0.4
33.6,-2.4,-3.6,-2.6,-1
34.56,-2.5,-3.3,-2.6,-2.2
35.52,-3.6,-4.2,-3.9,-0.1
36.48,-1.9,-2.3,-1.6,-1.6
37.44,-2.6,-3.2,-2,-2
38.4,-2.4,-3.8,-3.4,-0.9
39.36,-2.3,-2.8,-2.6,-1.3
40.32,-3.6,-4.3,-4,-0.4
41.28,-1.8,-2.5,-2,-1.2
42.24,-2,-2.6,-1.8,-1.6
43.2,-1.7,-2.5,-1.9,-2.4
44.16,-3.2,-3.8,-3,-1.2
45.12,-2,-2.7,-2.4,-1.4
46.08,-1.8,-2.5,-1.8,-2.1
47.04,-4,-4.7,-4,-0.6
48,-3,-3.4,-2.7,-1.4
48.96,-1.7,-2.1,-1.8,-1.7
49.92,-2.1,-2.9,-1.7,-1.9
50.88,-2,-2.9,-2.2,-1.5
51.84,-3.8,-4.4,-3.8,-0.2
52.8,-2.7,-3.4,-2.8,-1
53.76,-1.9,-2.8,-2,-1.7
54.72,-4.2,-4.5,-3.9,-0.4
55.68,-1.9,-2.6,-2.1,-2
56.64,-1.9,-2.5,-1.8,-2.2
57.6,-2.5,-3.1,-2,-2.9
58.56,-3.1,-3.8,-3.3,-0.6
59.52,-2.4,-2.5,-1.8,-2
60.48,-2,-2.3,-2,-1.6
61.44,-2,-2.5,-1.6,-1.8
62.4,-1.7,-2.1,-2.2,-1.3
63.36,-2.2,-2.8,-2.1,-1.7
64.32,-2.2,-2.6,-2.4,-1.2
65.28,-1.9,-2.1,-1.5,-1.7
66.24,-3.3,-3.3,-2.9,-1.4
67.2,-2.5,-2.7,-2.5,-1.4
68.16,-2.5,-2.8,-2.1,-2
69.12,-3.4,-3.7,-3.4,-1
70.08,-1.9,-2.4,-1.9,-1.8
71.04,-2.5,-2.9,-2.2,-1.4
72,-2.7,-3.5,-2.7,-1.2
72.96,-2.2,-3.1,-1.6,-1.8
73.92,-2.2,-2.9,-2.4,-2.4
74.88,-2,-2.8,-2.6,-0.9
75.84,-3.3,-4.4,-3.7,-0.9
76.8,-3.1,-3.8,-3.3,-0.7
77.76,-1.6,-2.3,-1.5,-1.8
78.72,-2.6,-3.3,-2.8,-1
79.68,-2.2,-2.2,-1.9,-2.3
80.64,-2.9,-3.2,-2.1,-1.9
81.6,-2.7,-3,-2.9,-1
82.56,-1.8,-2.2,-1.7,-1.2
83.52,-1.8,-2.1,-2.2,-1
84.48,-3.6,-4.3,-3.9,-0.8
85.44,-2,-2.5,-2.1,-1.5
86.4,-2,-3.1,-2.5,-1.6
87.36,-2.2,-3,-2.5,-1.3
88.32,-4,-4.9,-4,0
89.28,-3.3,-3.9,-2.6,-1.4
90.24,-1.8,-2.4,-1.6,-1.3
91.2,-1.8,-2.3,-1.7,-1.3
92.16,-2.6,-3.4,-2.8,-1.8
93.12,-1.8,-2.7,-2.5,-1.6
94.08,-2.4,-3,-2.8,-1.1
95.04,-2.2,-2.8,-2.2,-1.2
96,-1.5,-2.1,-1.7,-1.8
96.96,-1.8,-2.2,-1.6,-1.5
97.92,-1.9,-1.9,-1.4,-1.4
98.88,-3,-3.6,-2.6,-1.8
99.84,-1.7,-2.3,-2.1,-1.8
100.8,-2.7,-3.7,-3.1,-0.8
101.76,-1.8,-2.5,-2.1,-2.5
102.72,-1.8,-2.2,-1.7,-1.9
103.68,-1.9,-2.2,-1.8,-1.8
104.64,-2.8,-3.7,-3,-0.8
105.6,-2.4,-3.5,-2.5,-1.7
106.56,-2.5,-3.1,-2.6,-1.9
107.52,-3,-3.5,-2.6,-1.7
108.48,-2.4,-2.7,-1.6,-1.6
109.44,-2,-2.1,-1.6,-1.8
110.4,-2.6,-2.8,-1.6,-1.7
111.36,-2.5,-3.3,-2.8,-1.1
112.32,-2,-2.4,-1.9,-1.5
113.28,-1.8,-2.4,-2.2,-2.2
114.24,-1.6,-2.6,-1.9,-1.6
115.2,-2.2,-2.9,-2.5,-1.2
116.16,-2.3,-2.8,-2.4,-1.2
117.12,-2.3,-2.9,-2.3,-1.5
118.08,-2.8,-3.5,-2.7,-1.6
119.04,-2.4,-2.7,-1.9,-2
120,-1.9,-2.6,-2.3,-2
120.96,-2.6,-3.6,-3.1,-1.2
121.92,-1.8,-2.6,-1.7,-2.1
122.88,-1.7,-2.2,-1.8,-2.1
123.84,-1.7,-2.2,-1.9,-2.4
124.8,-1.6,-1.9,-1.7,-1.4
125.76,-1.8,-2.6,-2.1,-1.9
126.72,-1.6,-2.2,-1.8,-1.4
127.68,-2.6,-3.1,-2.4,-1.7
128.64,-2.3,-2.5,-2.2,-1.9
129.6,-1.5,-2.2,-2,-1.6
130.56,-1.9,-2.5,-2.1,-1.7
131.52,-2.2,-2.6,-2.3,-1.7
132.48,-2,-2.1,-1.5,-1.4
133.44,-1.6,-2.1,-1.4,-1.6
134.4,-1.9,-2.3,-1.7,-2
135.36,-2.2,-3,-2.4,-1.7
136.32,-1.6,-2,-2.1,-1.9
137.28,-2.1,-2.9,-2.4,-1.9
138.24,-1.9,-2.2,-1.4,-1.6
139.2,-2.5,-2.9,-2,-2.3
140.16,-2.4,-3,-1.8,-2
141.12,-1.7,-2.3,-1.5,-1.9
142.08,-2.1,-2.7,-1.7,-2.1
143.04,-2,-2.5,-2,-1.8
144,-1.9,-2.6,-1.7,-1.5
144.96,-1.5,-2.3,-1.8,-1.6
145.92,-1.8,-2.2,-1.9,-1.9
146.88,-2,-2.5,-1.6,-2
147.84,-2,-2.3,-1.9,-1.6
148.8,-2.4,-2.4,-2.2,-2.1
149.76,-1.9,-2.3,-2,-1.3
150.72,-1.6,-2.2,-1.7,-1.8
151.68,-2.2,-2.5,-1.8,-1.4
152.64,-1.5,-2.3,-1.9,-1.8
153.6,-4.8,-5.2,-4,0.1
154.56,-3.3,-3.6,-3.3,-0.6
155.52,-2.4,-2.7,-2.4,-1.6
156.48,-1.8,-2.6,-2,-2.1
157.44,-2.4,-2.9,-1.9,-1.6
158.4,-2,-2.5,-1.9,-1.7
159.36,-2.4,-2.7,-2.2,-2.1
160.32,-2,-2.5,-2,-1.6
161.28,-3,-3.2,-3,-1.2
162.24,-2.4,-3,-2.4,-1.4
163.2,-2.1,-2.6,-1.7,-1.9
164.16,-2.2,-2.5,-2.2,-2.3
165.12,-1.8,-2.7,-1.9,-2.1
166.08,-2.8,-3.6,-2.8,-1.7
167.04,-1.7,-2.8,-2.1,-1.9
168,-2.5,-3.5,-2,-2.3
168.96,-2.4,-2.9,-1.9,-1.8
169.92,-2,-2.5,-2.2,-2.2
170.88,-2.4,-2.9,-2.5,-1.8
171.84,-1.7,-2.3,-2,-1.8
172.8,-2,-2.6,-2.1,-1.4
173.76,-1.9,-2.7,-2.1,-1.9
174.72,-2,-2.3,-1.6,-2
175.68,-2,-2.8,-2.6,-1.7
176.64,-3.3,-4.1,-3.4,-1.2
177.6,-1.8,-2.5,-2.1,-1.7
178.56,-1.6,-2.1,-1.6,-1.4
179.52,-1.7,-2.7,-2.3,-2.2
180.48,-2.4,-3.2,-2.4,-1.7
181.44,-2,-3,-2.5,-1.5
182.4,-1.8,-2.2,-1.9,-1.8
183.36,-1.8,-2.6,-2.1,-2.2
184.32,-2.5,-3.1,-1.8,-1.9
185.28,-2.2,-2.5,-2,-1.4
186.24,-2,-2.2,-2,-1.5
187.2,-2.2,-3,-2.9,-1
188.16,-3,-3.7,-2.8,-1
189.12,-1.8,-2.2,-1.6,-1.6
190.08,-1.9,-2.8,-2.4,-2
191.04,-1.8,-2.3,-1.6,-2.1
192,-2.9,-3.4,-2.8,-0.5
192.96,-1.8,-2.3,-2.2,-1.8
193.92,-2.3,-3.2,-2.6,-1.9
194.88,-1.9,-2.3,-1.8,-1.9
195.84,-2,-2.5,-1.8,-1.6
196.8,-5.4,-5.9,-4.9,0.8
197.76,-1.5,-2,-1.7,-1.7
198.72,-2.4,-3.4,-3.2,-1.8
199.68,-2.3,-2.8,-2,-2
200.64,-2.7,-3.3,-2.9,-1
201.6,-4.6,-5.5,-4.4,0.2
