start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.5,-2.4,-2.5,-2.1
0.96,-3.2,-3.1,-3.3,-2.6
1.92,-2.3,-2.5,-2.5,-2.2
2.88,-2.9,-3.1,-3.3,-2.9
3.84,-2.9,-2.8,-3.1,-2.7
4.8,-2.6,-2.6,-2.7,-2.5
5.76,-3.2,-3,-3.3,-2.7
6.72,-3.2,-3.3,-3.1,-2.5
7.68,-4.1,-4.5,-4.3,-2.3
8.64,-3.6,-3.5,-3.8,-3.2
9.6,-3.6,-3.7,-3.9,-2.7
10.56,-3,-2.9,-2.9,-2.5
11.52,-3.3,-3.1,-3.2,-2.9
12.48,-3.2,-3.1,-3.1,-3
13.44,-2.9,-3,-3,-2.5
14.4,-2.3,-2.3,-2.4,-2
15.36,-2.3,-2,-2.4,-2
16.32,-2.5,-2.2,-2.5,-2.3
17.28,-2.8,-2.8,-3,-2.3
18.24,-2.4,-2.1,-2.5,-1.8
19.2,-2.5,-2.5,-2.6,-1.9
20.16,-2.7,-2.5,-2.6,-1.8
21.12,-2.7,-2.8,-2.5,-1.4
22.08,-2.9,-2.7,-2.8,-2.2
23.04,-2.5,-2.4,-2.6,-2
24,-1.8,-1.9,-2.3,-1.9
24.96,-3.1,-3,-3.2,-2
25.92,-2.2,-2.3,-2.1,-2
26.88,-2.3,-2.3,-2.4,-2
27.84,-2.9,-2.9,-3.2,-1.9
28.8,-2.4,-2.3,-2.5,-1.8
29.76,-2.7,-2.9,-3.1,-2.1
30.72,-2.5,-2.2,-2.5,-1.7
31.68,-1.9,-2.1,-2.4,-1.7
32.64,-1.9,-2.2,-2,-1.2
33.6,-2,-2.3,-2.5,-1.7
34.56,-1.8,-2.1,-2.5,-1.7
35.52,-2.4,-2.6,-2.6,-1.9
36.48,-2.6,-2.6,-2.9,-1.5
37.44,-3,-2.5,-2.8,-2.1
38.4,-2.8,-2.7,-2.6,-1.8
39.36,-2.7,-2.1,-2.6,-1.6
40.32,-2.9,-2.3,-2.7,-1.9
41.28,-1.9,-2,-1.8,-1.6
42.24,-2.3,-2.3,-2.1,-1.6
43.2,-2,-2,-2.3,-1.1
44.16,-2.1,-2.4,-2.5,-1.6
