start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.6,-1.5,-1.5,-1
0.96,-1.8,-2.1,-2.3,-1.6
1.92,-1.6,-1.8,-2.1,-1.4
2.88,-1.9,-2.2,-2.1,-1.7
3.84,-1.7,-2,-2.1,-1.3
4.8,-1.7,-2.2,-2.2,-1.5
5.76,-1.9,-1.9,-2,-1.5
6.72,-1.9,-1.9,-1.9,-1.5
7.68,-2.5,-2.6,-2.6,-2
8.64,-3.2,-3.2,-3,-2.1
9.6,-2.2,-2.2,-2,-1.3
10.56,-2.3,-2.5,-2.5,-2
11.52,-2.2,-2.2,-2.3,-1.7
12.48,-2.9,-2.8,-2.5,-1.8
13.44,-2.1,-2.3,-2.3,-1.8
14.4,-2.9,-2.8,-3,-2.4
15.36,-2,-1.9,-2,-1.4
16.32,-2.1,-2.5,-2.5,-2.1
17.28,-2.1,-2.3,-2.4,-2
18.24,-2.2,-2.4,-2.4,-1.7
19.2,-2.3,-2.3,-2.4,-2.1
20.16,-2.9,-2.9,-3,-2.5
21.12,-2.4,-2.4,-2.4,-1.8
22.08,-2.4,-2.6,-2.6,-2.3
23.04,-1.8,-2.1,-2,-1.6
24,-2.8,-2.8,-2.8,-2.4
24.96,-2.8,-2.8,-2.9,-2.1
25.92,-2.4,-2.5,-2.5,-2
26.88,-2.5,-2.6,-2.6,-1.8
27.84,-2.9,-2.7,-2.9,-2.5
28.8,-2.6,-2.8,-2.9,-2.1
29.76,-2.8,-3,-2.5,-2.2
30.72,-2.2,-2.5,-2.7,-2.3
31.68,-2.7,-2.5,-2.3,-2.3
32.64,-2.5,-2.7,-2.5,-2.1
33.6,-2.2,-2.8,-2.6,-2.2
34.56,-2.7,-3.1,-3.2,-2.5
35.52,-2.6,-3,-2.8,-2.2
36.48,-2.4,-2.5,-2.5,-2.1
37.44,-2.6,-2.8,-2.5,-2
38.4,-3,-3.5,-3.3,-2.5
39.36,-2.5,-2.6,-2.5,-1.6
40.32,-3.1,-3.1,-3,-2.4
41.28,-2.5,-2.8,-2.5,-2.2
42.24,-2.3,-2.5,-2.3,-2
43.2,-2,-2.3,-2,-1.6
44.16,-2.3,-2.6,-2.7,-2.2
45.12,-2.2,-2.3,-2.5,-1.5
46.08,-2.2,-1.9,-2,-1.5
47.04,-2.5,-2.8,-2.6,-2.1
48,-2.9,-2.8,-2.8,-2.1
48.96,-1.6,-1.9,-1.8,-1.6
49.92,-2.3,-2.4,-2.4,-1.8
50.88,-2.2,-2.3,-2.4,-2.1
51.84,-2.1,-2.4,-2.3,-1.7
52.8,-2.3,-2.6,-2.5,-1.9
53.76,-2.8,-3,-3,-2
54.72,-2.7,-2.6,-2.6,-1.9
55.68,-2.7,-2.9,-2.6,-1.9
56.64,-2.1,-2.2,-2.1,-1.7
57.6,-1.9,-2.4,-2.6,-1.7
58.56,-2.7,-3,-3,-2.5
59.52,-2,-2.2,-2.1,-1.8
60.48,-2.6,-2.9,-2.9,-2.1
61.44,-3.6,-3.8,-3.6,-3.3
62.4,-3,-3.5,-2.9,-2.2
63.36,-3,-3.1,-3.1,-2.7
64.32,-2.2,-2.5,-2.2,-1.5
65.28,-2.8,-3.3,-2.9,-2.8
66.24,-2.8,-2.9,-2.8,-2.5
67.2,-2.7,-3.1,-2.7,-2.4
68.16,-1.9,-1.9,-2,-1.4
69.12,-2.5,-2.6,-2.6,-2.5
70.08,-2.1,-2.2,-2.5,-1.9
71.04,-2.5,-2.5,-2.5,-1.8
72,-2.5,-3,-2.7,-2.3
72.96,-2.9,-3,-2.9,-2.5
73.92,-2,-2.1,-2.2,-1.8
74.88,-2.1,-2.3,-2,-1.7
75.84,-2.3,-2.4,-2.2,-1.7
76.8,-2.9,-3.1,-2.9,-2.4
77.76,-2.8,-2.8,-2.5,-2.5
78.72,-2.8,-2.5,-2.5,-2.2
79.68,-1.5,-1.6,-1.5,-1.5
80.64,-1.4,-1.6,-1.7,-1.4
81.6,-1.7,-1.9,-1.8,-1.4
82.56,-1.4,-1.7,-1.7,-1.4
83.52,-1.7,-1.9,-2,-1.6
84.48,-1.6,-1.7,-1.7,-1.4
85.44,-2.4,-2.4,-2.1,-1.8
86.4,-2.2,-2.2,-2.2,-1.7
87.36,-1.6,-1.6,-1.7,-1.5
88.32,-1.6,-1.8,-1.6,-1.6
89.28,-1.7,-2.1,-2,-1.7
90.24,-2.4,-2.7,-2.5,-2.1
91.2,-2.6,-3,-2.7,-1.8
92.16,-1.5,-1.8,-1.6,-1.4
93.12,-2.1,-2.2,-2.1,-1.8
94.08,-1.8,-1.7,-1.8,-1.6
95.04,-1.1,-1.4,-1.4,-1.3
96,-1.8,-2,-1.9,-1.6
96.96,-1.9,-1.8,-1.9,-1.4
97.92,-1.9,-2.2,-1.9,-2
98.88,-2.5,-2.5,-2.8,-2.2
99.84,-2,-2.3,-2.1,-2
100.8,-2.4,-2.3,-2.2,-1.8
101.76,-2.1,-2.2,-2.2,-1.8
102.72,-1.9,-2.3,-2.3,-1.9
103.68,-2.1,-2.1,-2,-1.6
104.64,-2,-2.1,-2.1,-1.6
105.6,-1.6,-1.7,-1.5,-1.4
106.56,-1.8,-1.9,-2.1,-1.5
107.52,-1.9,-1.8,-1.6,-1.5
108.48,-2.1,-2.1,-2,-1.7
109.44,-1.9,-2,-2.2,-1.6
110.4,-2.1,-2.4,-2.6,-1.9
111.36,-2.1,-2.2,-2.3,-1.5
112.32,-1.6,-1.8,-1.6,-1.6
113.28,-1.6,-1.7,-1.7,-1.7
114.24,-1.8,-1.9,-1.7,-1.7
115.2,-1.9,-2,-1.9,-1.8
116.16,-2,-1.9,-1.9,-1.7
117.12,-2.4,-2.1,-2.2,-2.2
118.08,-1.7,-1.7,-1.8,-1.3
119.04,-1.9,-1.9,-1.6,-1.6
120,-2,-2.1,-1.9,-1.9
120.96,-1.7,-1.8,-1.9,-1.5
121.92,-1.6,-1.7,-1.6,-1.5
122.88,-2.2,-2,-2,-1.8
123.84,-1.8,-1.7,-1.9,-1.6
124.8,-1.7,-1.6,-1.5,-1.4
125.76,-1.8,-1.7,-1.7,-1.5
126.72,-1.5,-1.7,-1.7,-1.6
127.68,-1.8,-1.6,-1.8,-1.5
128.64,-1.5,-1.5,-1.4,-1.4
129.6,-1.7,-2.1,-2.2,-1.6
130.56,-2.1,-2.3,-2.2,-2.2
131.52,-1.7,-2,-1.8,-1.5
132.48,-1.2,-1.3,-1.5,-1.6
133.44,-1.8,-1.8,-1.9,-1.6
134.4,-1.5,-1.6,-1.6,-1.6
135.36,-1.2,-1.4,-1.4,-1.3
136.32,-1.6,-1.7,-1.8,-1.7
137.28,-1.7,-1.7,-1.8,-1.4
138.24,-1.5,-1.4,-1.5,-1.2
139.2,-1.9,-2,-2,-1.7
140.16,-1.2,-1.5,-1.5,-1.5
141.12,-1.7,-1.7,-1.7,-1.3
142.08,-1.9,-2,-1.8,-1.6
143.04,-1.6,-1.6,-1.6,-1.4
144,-1.8,-1.9,-1.8,-1.6
144.96,-1.8,-1.9,-1.7,-1.7
145.92,-1.6,-2,-1.9,-1.8
146.88,-1.5,-1.6,-1.7,-1.6
147.84,-1.5,-1.6,-1.6,-1.5
148.8,-1.8,-1.7,-1.7,-1.4
149.76,-1.7,-1.6,-1.6,-1.4
150.72,-1.6,-1.5,-1.6,-1.4
151.68,-1.9,-1.9,-1.9,-1.3
152.64,-1.5,-1.6,-1.4,-1.2
153.6,-2,-2.3,-2.1,-1.8
154.56,-1.7,-1.8,-2,-1.7
155.52,-1.9,-1.9,-2,-1.8
156.48,-1.7,-1.5,-1.6,-1.2
157.44,-1.7,-2.1,-2.2,-1.9
158.4,-2,-1.9,-1.9,-1.8
159.36,-1.7,-1.8,-1.6,-1.4
160.32,-1.5,-1.7,-1.7,-1.5
161.28,-1.7,-1.8,-1.5,-1.7
162.24,-1.9,-1.8,-1.8,-1.4
163.2,-2,-2.1,-2,-1.8
164.16,-2,-2.3,-2.1,-1.7
165.12,-1.9,-1.7,-1.8,-1.5
166.08,-1.8,-1.8,-1.9,-1.4
167.04,-1.5,-1.6,-1.8,-1.4
168,-1.4,-1.7,-1.7,-1.6
168.96,-1.3,-1.5,-1.5,-1.4
169.92,-1.9,-1.9,-1.9,-1.7
170.88,-1.6,-1.8,-1.7,-1.6
171.84,-1.8,-1.8,-1.9,-1.7
172.8,-1.6,-1.9,-1.7,-1.6
173.76,-2,-2.1,-2.1,-1.8
174.72,-1.8,-1.9,-1.8,-1.4
175.68,-1.4,-1.5,-1.4,-1.4
176.64,-2.3,-2.5,-2.4,-2.1
177.6,-2,-1.9,-2.1,-1.8
178.56,-1.5,-1.7,-1.8,-1.7
179.52,-1.4,-1.6,-1.6,-1.6
180.48,-1.9,-1.9,-2,-1.8
181.44,-2.1,-2,-2.3,-1.7
182.4,-1.8,-1.7,-1.8,-1.7
183.36,-1.8,-1.7,-1.5,-1.6
184.32,-2,-1.9,-2.1,-1.6
185.28,-1.9,-1.9,-1.9,-1.6
186.24,-1.9,-1.9,-1.8,-1.7
187.2,-1.7,-1.8,-1.7,-1.7
188.16,-1.8,-1.7,-1.7,-1.5
189.12,-1.6,-2,-2,-2
190.08,-1.6,-1.7,-1.7,-1.3
191.04,-2,-2,-2,-1.8
192,-1.7,-1.8,-1.8,-1.6
192.96,-2.2,-2.1,-2.1,-1.9
193.92,-1.7,-1.7,-1.9,-1.8
194.88,-1.8,-1.9,-1.7,-1.7
195.84,-1.6,-1.8,-2,-1.7
196.8,-2,-1.8,-1.8,-1.6
197.76,-1.7,-1.7,-1.7,-1.4
198.72,-1.6,-1.6,-1.7,-1.4
199.68,-1.6,-1.6,-1.6,-1.3
200.64,-1.8,-1.6,-1.9,-1.4
201.6,-1.6,-1.7,-1.7,-1.3
202.56,-2.2,-1.8,-1.8,-1.7
203.52,-1.8,-1.8,-1.9,-1.5
204.48,-1.7,-2,-1.9,-1.6
205.44,-1.6,-1.5,-1.5,-1.4
206.4,-1.8,-1.9,-1.8,-1.6
207.36,-1.5,-1.7,-1.5,-1.4
208.32,-1.8,-1.8,-1.5,-1.4
209.28,-1.7,-1.9,-1.7,-1.6
210.24,-1.6,-1.4,-1.5,-1.3
211.2,-1.8,-1.7,-1.8,-1.4
212.16,-1.7,-1.7,-1.8,-1.5
213.12,-1.4,-1.4,-1.6,-1.2
214.08,-2.1,-2.7,-2.3,-2
215.04,-2.4,-2.3,-2.2,-1.6
216,-1.7,-1.9,-1.8,-1.7
216.96,-2.1,-2,-2.1,-1.7
217.92,-2,-2,-1.9,-1.5
218.88,-2.1,-1.9,-2.3,-1.8
219.84,-2.3,-2.1,-2.2,-1.6
220.8,-1.9,-1.8,-1.6,-1.4
221.76,-2,-2,-2,-1.4
222.72,-1.6,-1.9,-1.8,-1.5
223.68,-1.8,-2.2,-1.9,-2
224.64,-2,-2,-1.9,-1.4
225.6,-1.8,-1.8,-1.9,-1.3
226.56,-1.8,-1.9,-1.9,-1.4
227.52,-1.5,-1.4,-1.6,-1.2
228.48,-2.2,-2.2,-2.3,-1.7
229.44,-1.9,-1.9,-1.6,-1.4
230.4,-2,-1.9,-1.9,-1.7
231.36,-1.9,-2,-1.9,-1.4
232.32,-2.2,-2.1,-2,-1.7
233.28,-2.4,-2.6,-2.5,-2.6
234.24,-1.9,-2.2,-2.2,-1.8
235.2,-2.1,-2.3,-2.3,-1.5
236.16,-1.6,-1.8,-1.5,-1.5
237.12,-1.4,-1.4,-1.4,-1.4
238.08,-2,-2,-2.1,-1.7
239.04,-1.8,-1.8,-1.8,-1.4
240,-2,-1.9,-2,-1.6
240.96,-1.6,-1.5,-1.4,-1.2
241.92,-1.9,-1.8,-1.9,-1.5
242.88,-2.1,-1.9,-1.9,-1.8
243.84,-1.8,-2.1,-2.2,-1.7
244.8,-1.9,-1.8,-1.9,-1.5
245.76,-1.7,-1.7,-1.8,-1.6
246.72,-2.5,-2.3,-2.1,-2.2
247.68,-1.9,-2,-1.9,-1.6
