start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.5,-1.9,-1.3,-1.4
0.96,-2,-2.6,-1.9,-2.2
1.92,-1.7,-1.9,-1.6,-1.6
2.88,-2.1,-2.2,-1.9,-1.7
3.84,-2.5,-2.3,-2.1,-2.3
4.8,-2.8,-2.3,-2.6,-3.2
5.76,-1.9,-1.9,-1.8,-2
6.72,-1.8,-2.1,-1.8,-1.6
7.68,-2.3,-2.5,-2.1,-2.2
8.64,-1.8,-2.3,-2,-2
9.6,-1.9,-1.9,-1.6,-1.6
10.56,-2.2,-2.3,-1.9,-2
11.52,-1.8,-2.3,-1.8,-1.9
12.48,-2.1,-2.1,-2,-1.9
13.44,-2.6,-2.1,-2.3,-2
14.4,-2.3,-2.4,-1.8,-1.8
15.36,-1.7,-2,-1.8,-1.6
16.32,-2.3,-2.5,-1.9,-1.8
17.28,-1.9,-2.3,-1.2,-1.6
18.24,-2.6,-2.2,-1.5,-2.1
19.2,-2.3,-2.4,-2,-1.9
20.16,-1.7,-2,-2,-1.9
21.12,-2,-2.3,-1.8,-1.7
22.08,-1.7,-2,-1.5,-2
23.04,-2.1,-2,-2,-1.7
24,-1.8,-2.1,-1.6,-1.8
24.96,-2.5,-2.9,-2.8,-3
25.92,-2.4,-2.3,-2.6,-2.1
26.88,-1.8,-2.2,-2,-2
27.84,-1.7,-2,-1.6,-2
28.8,-1.7,-1.9,-1.6,-1.7
29.76,-1.6,-2,-1.5,-1.8
30.72,-2,-2.4,-2.1,-2.3
31.68,-2.1,-2.1,-1.9,-1.7
32.64,-1.9,-2,-2,-1.6
33.6,-2.7,-2.5,-2.4,-2.5
34.56,-2.9,-2.3,-2.6,-2.7
35.52,-2,-1.9,-1.9,-2
36.48,-2.1,-2.2,-2.2,-1.8
37.44,-2.2,-2.4,-1.8,-1.7
38.4,-3.2,-2.8,-3.1,-2.9
39.36,-2.4,-2.3,-1.8,-2.1
40.32,-2.3,-2.2,-2,-1.7
41.28,-1.8,-1.7,-1.7,-1.6
42.24,-2.1,-2.3,-2.4,-2.2
43.2,-1.9,-2.3,-1.8,-1.5
44.16,-1.7,-1.8,-1.2,-1.4
45.12,-2.2,-2.6,-1.7,-2.1
46.08,-2.5,-2.5,-2,-1.8
47.04,-2.4,-2.8,-1.8,-2
48,-2.5,-2.6,-2,-1.9
48.96,-2.3,-2.4,-1.8,-2.4
49.92,-2.6,-2.5,-1.7,-1.8
50.88,-2.1,-2.2,-2,-1.9
