start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2,-2.3,-1.6,-1.8
0.96,-1.4,-2.2,-2,-1.6
1.92,-1.2,-1.9,-1.8,-1.7
2.88,-1.4,-2.2,-2,-1.8
3.84,-1.9,-2.5,-2.2,-2.2
4.8,-1.6,-2.3,-1.6,-1.9
5.76,-1.6,-2.1,-1.8,-1.5
6.72,-1.7,-2.2,-1.8,-1.8
7.68,-1.8,-2.3,-1.5,-1.9
8.64,-1.7,-2.4,-1.7,-1.6
9.6,-1.5,-2.1,-1.6,-1.7
10.56,-1.6,-2.3,-1.6,-1.7
11.52,-1.7,-2.3,-1.5,-1.7
12.48,-1.7,-2.2,-1.5,-1.8
13.44,-1.6,-2.3,-1.6,-1.9
14.4,-2.3,-2.8,-2.3,-2.2
15.36,-2,-2.4,-1.9,-1.8
16.32,-2,-2.5,-2,-2
17.28,-2.1,-2.5,-2.3,-2
18.24,-1.4,-2.2,-1.6,-1.8
19.2,-2.1,-2.3,-1.9,-1.7
20.16,-1.4,-2,-1.5,-1.6
21.12,-1.7,-2.6,-1.8,-2
22.08,-1.8,-2,-1.9,-1.8
23.04,-2,-2.4,-2.1,-1.8
24,-1.7,-2,-1.4,-1.4
24.96,-2,-2.4,-2.4,-1.6
25.92,-2,-2.7,-2.2,-1.3
26.88,-2.1,-2.5,-2.1,-1.4
27.84,-1.6,-2.1,-1.8,-1.3
28.8,-1.6,-2.1,-1.6,-1.4
29.76,-1.4,-2.2,-1.3,-1.9
30.72,-1.4,-2,-1.6,-1.4
31.68,-1.9,-2.5,-2.3,-1.6
32.64,-1.9,-2.3,-2.1,-2
33.6,-1.9,-2.3,-2,-1.9
34.56,-2,-2.1,-1.9,-1.7
35.52,-1.7,-2,-1.7,-1.7
36.48,-2,-2.3,-1.7,-1.5
37.44,-1.9,-2.2,-1.8,-1.5
38.4,-1.8,-2.4,-1.7,-1.6
39.36,-1.7,-2.2,-1.7,-1.7
40.32,-2,-2.3,-1.9,-1.6
41.28,-2.2,-2.3,-1.6,-1.9
42.24,-2.1,-2.1,-2,-2
43.2,-2.5,-2.6,-2.4,-2
44.16,-2.4,-2.6,-2.1,-1.9
45.12,-1.8,-2.2,-1.9,-1.8
46.08,-2,-2.5,-1.8,-1.6
47.04,-1.6,-2.1,-1.4,-1.6
48,-2.3,-2.6,-2,-2.2
48.96,-1.8,-2.1,-1.5,-1.4
49.92,-1.6,-2.2,-1.5,-1.4
50.88,-4,-3.8,-3,-3.3
51.84,-1.6,-2,-1.6,-1.5
52.8,-2.1,-2.2,-1.9,-1.9
53.76,-2.2,-2.3,-1.9,-1.8
54.72,-1.8,-2.2,-1.5,-1.6
55.68,-1.5,-1.9,-1.5,-1.4
56.64,-1.9,-1.9,-1.7,-1.9
57.6,-2.1,-2.4,-1.6,-2.1
58.56,-1.8,-2.1,-1.6,-1.6
59.52,-1.6,-2,-1.5,-1.6
60.48,-1.5,-2.1,-1.5,-1.6
61.44,-2.1,-2.3,-1.7,-1.7
62.4,-1.4,-1.9,-1.3,-1.4
63.36,-2.3,-2.3,-1.7,-1.7
64.32,-2.3,-2.5,-1.7,-1.8
65.28,-1.7,-2,-1.4,-1.3
66.24,-1.8,-2.1,-1.6,-1.7
67.2,-1.6,-1.9,-1.3,-1.5
68.16,-2,-2.4,-1.7,-1.8
69.12,-1.6,-2.1,-1.2,-1.6
70.08,-1.7,-2,-1.4,-1.6
71.04,-1.5,-1.9,-1.4,-1.4
72,-1.4,-1.9,-1.2,-1.4
72.96,-1.9,-2.3,-1.5,-1.8
73.92,-2.1,-2.4,-1.8,-1.7
74.88,-1.9,-2.1,-1.4,-1.5
75.84,-1.8,-1.9,-1.7,-1.6
76.8,-1.6,-2,-1.3,-1.4
77.76,-1.8,-1.7,-1.3,-1.4
78.72,-1.6,-2,-1.2,-1.3
79.68,-1.4,-1.9,-1.1,-1.4
80.64,-1.6,-2.3,-1.5,-1.5
81.6,-1.4,-2.2,-1.4,-1.8
82.56,-1.6,-2,-1.1,-1.4
83.52,-1.7,-2,-1.3,-1.6
84.48,-1.5,-2.1,-1.2,-1.8
85.44,-1.5,-2,-1.2,-1.4
86.4,-1.6,-2.1,-0.9,-1.5
87.36,-1.5,-2.1,-1.6,-1.6
88.32,-1.5,-2.1,-1.3,-1.7
89.28,-1.6,-2.4,-1.3,-1.9
90.24,-2.1,-2.5,-1.9,-2
91.2,-1.8,-2.3,-1.6,-1.7
92.16,-1.7,-2.5,-1.6,-2.1
93.12,-1.9,-2.5,-2,-1.9
94.08,-1.9,-2.6,-1.7,-2
95.04,-1.5,-2.2,-1.7,-1.6
96,-2,-2.6,-2,-2.1
96.96,-1.4,-2,-1.4,-1.8
97.92,-2,-2.8,-2.3,-2
98.88,-1.4,-2.1,-1.5,-1.5
99.84,-1.4,-2.3,-1.6,-1.3
100.8,-1.7,-2.5,-1.7,-2.1
101.76,-1.5,-2.9,-2.1,-1.6
102.72,-1.8,-2.3,-1.9,-1.9
103.68,-1.3,-2.2,-1.7,-1.6
104.64,-2,-2.5,-2.2,-1.8
105.6,-1.5,-2.4,-1.7,-1.6
106.56,-1.7,-2.4,-1.9,-2
107.52,-1.8,-2.4,-1.7,-1.8
108.48,-1.6,-2.6,-2.2,-1.8
109.44,-1.6,-2.5,-1.8,-1.7
110.4,-1.7,-2.5,-1.7,-1.5
111.36,-1.5,-2.1,-1.5,-1.5
112.32,-1.8,-2.3,-1.6,-2.1
113.28,-1.5,-2.4,-1.7,-1.6
114.24,-1.3,-2.5,-1.7,-1.6
115.2,-1.6,-2.2,-1.4,-1.6
116.16,-1.5,-2.2,-1.5,-1.7
117.12,-2.1,-2.4,-1.9,-2
118.08,-1.7,-2.3,-2,-1.8
119.04,-1.6,-2.5,-1.7,-1.7
120,-1.9,-2.4,-1.9,-1.9
120.96,-1.7,-2.4,-2.2,-2.4
121.92,-1.3,-2,-1.3,-1.4
122.88,-1.9,-2.3,-1.6,-1.8
123.84,-1.6,-2.1,-1.4,-1.7
124.8,-1.7,-2.5,-2.4,-2
