start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.7,-2.3,-1.9,-1.8
0.96,-2.2,-2.3,-2,-2.1
1.92,-2.2,-2.6,-2.2,-2.3
2.88,-1.9,-2.6,-2,-1.8
3.84,-2,-2.4,-2.1,-1.9
4.8,-2.3,-2.8,-2.5,-2.3
5.76,-2.3,-2.9,-2.5,-2.5
6.72,-2.1,-2.7,-2.4,-2.5
7.68,-2,-2.4,-2.2,-2.1
8.64,-2.2,-2.9,-2.5,-2.5
9.6,-2.1,-2.8,-2.2,-2.3
10.56,-2,-2.4,-2.2,-2.3
11.52,-2.3,-2.6,-2.4,-2.4
12.48,-2,-2.6,-2.2,-2
13.44,-2.3,-2.4,-2.2,-2.2
14.4,-2.5,-2.8,-2.4,-2.5
15.36,-2.4,-2.8,-2.3,-2.5
16.32,-2.3,-2.7,-2.6,-2.5
17.28,-2.5,-2.6,-2.5,-2.8
18.24,-2.1,-2.1,-1.9,-2
19.2,-2.2,-2.4,-1.9,-2.1
20.16,-2.5,-2.6,-2.4,-2.6
21.12,-2.7,-2.7,-2.4,-2.4
22.08,-2.2,-2.3,-2,-1.8
23.04,-1.9,-2.4,-2.2,-2.3
24,-2.5,-2.6,-2.4,-2.3
24.96,-2.6,-2.9,-2.6,-2.8
25.92,-2.2,-2.5,-2.2,-2.5
26.88,-2.5,-2.8,-2.8,-2.8
27.84,-2.3,-1.9,-1.8,-2
28.8,-2.2,-2,-2,-1.9
29.76,-2.9,-2.6,-2.6,-3.1
30.72,-2.7,-2.4,-2.3,-2.9
31.68,-2.6,-2.3,-1.7,-2.4
32.64,-2.5,-2.3,-2.1,-2.5
33.6,-2.3,-2.5,-2.3,-2.6
34.56,-1.9,-2.2,-1.9,-2.2
35.52,-2.4,-2.7,-2.4,-2.8
36.48,-2.5,-2.9,-2.5,-2.2
37.44,-2.2,-2.9,-2.5,-2
38.4,-1.6,-2,-1.6,-1.8
39.36,-1.8,-2.1,-1.9,-1.8
40.32,-1.9,-2.1,-1.8,-1.7
41.28,-2.6,-2.7,-2.7,-2.8
42.24,-2.6,-2.7,-2.4,-2.2
43.2,-2.1,-2.4,-2.3,-2.3
44.16,-2.7,-2.9,-2.7,-2.7
45.12,-2.3,-2.6,-2.2,-2.3
46.08,-2.5,-3,-2.6,-2.8
47.04,-2.2,-2.5,-2.2,-2.4
48,-2.9,-2.9,-3,-3
48.96,-2.3,-2.5,-2.5,-2.8
49.92,-2.8,-3.2,-3,-3.1
50.88,-2.6,-2.4,-2.4,-2.5
51.84,-2.9,-2.9,-2.6,-3
52.8,-2.5,-2.7,-2.6,-2.8
53.76,-2.4,-2.4,-2.2,-2.3
54.72,-1.9,-2,-1.7,-2.1
55.68,-2.7,-2.7,-2.6,-2.7
56.64,-1.7,-1.9,-1.8,-1.6
57.6,-2,-2.4,-2,-2
58.56,-2,-2.5,-2.1,-2.2
59.52,-1.8,-2.6,-1.8,-2
60.48,-1.6,-2.2,-1.6,-1.7
61.44,-1.9,-2.3,-2.1,-2
62.4,-2,-2.4,-1.8,-2
63.36,-1.7,-2.2,-1.8,-1.8
64.32,-1.6,-2.1,-1.8,-1.5
65.28,-2,-2.5,-2.2,-2.3
66.24,-2,-2.4,-1.9,-2.3
67.2,-2.2,-2.3,-1.8,-1.9
68.16,-1.9,-2.3,-1.8,-1.9
69.12,-1.8,-2.2,-1.8,-2
70.08,-2.4,-2.5,-2.4,-2.3
71.04,-2.1,-2.4,-2.1,-2
72,-2,-2.3,-2,-2.1
72.96,-1.8,-1.9,-1.8,-1.9
73.92,-2.4,-2.2,-2.3,-2
74.88,-2,-2.2,-1.9,-2
75.84,-1.9,-2.1,-1.9,-1.8
76.8,-1.8,-2.3,-2.1,-1.9
77.76,-2,-2.5,-2,-2.2
78.72,-1.9,-2.4,-2.2,-2.1
79.68,-1.9,-2.3,-2,-2.1
80.64,-2.2,-2.5,-2,-2
81.6,-2.2,-2.7,-2.2,-1.8
82.56,-3.1,-2.9,-2.8,-3.1
83.52,-2.5,-2.4,-1.8,-2.1
84.48,-2.7,-2.8,-2.5,-2.9
85.44,-2.5,-2.7,-2.5,-2.9
86.4,-2.5,-2.5,-2.4,-2.9
87.36,-2.7,-2.6,-2.5,-2.5
88.32,-2.4,-2.5,-2.2,-2.3
89.28,-3.8,-3,-3,-3.8
90.24,-2.8,-2.8,-2.9,-2.9
91.2,-2.9,-2.5,-2,-2.3
92.16,-2.1,-2.1,-2.1,-1.8
93.12,-2.7,-2.8,-2.4,-2.9
94.08,-2,-1.9,-1.6,-1.8
95.04,-2.8,-2.5,-2.3,-3
96,-2.7,-2.3,-2.1,-2.5
96.96,-2.3,-2,-1.9,-2.1
97.92,-2.4,-2,-1.7,-2
98.88,-2,-2.2,-1.8,-1.9
99.84,-3,-3.1,-2.9,-3.2
100.8,-1.6,-2.1,-1.8,-1.6
101.76,-2,-2.4,-1.8,-1.9
102.72,-2,-2.6,-2.2,-2
103.68,-2.3,-2.6,-2.4,-2.4
104.64,-2.2,-2.5,-2.4,-2.5
105.6,-1.6,-2.3,-1.9,-1.8
106.56,-2.2,-2.5,-3,-2.8
107.52,-1.7,-1.9,-1.8,-1.9
108.48,-1.9,-2.2,-1.8,-1.8
109.44,-1.5,-1.9,-1.7,-1.9
110.4,-2.4,-2.5,-2.4,-2.5
111.36,-2,-2.1,-2.1,-1.8
112.32,-2.1,-2.3,-2.2,-2.3
113.28,-2.1,-2.2,-2.3,-2.2
114.24,-2.8,-2.7,-2.5,-2.8
115.2,-2.4,-2.7,-2.7,-2.8
116.16,-2.3,-2.5,-2.3,-2.5
117.12,-2.6,-2.1,-1.7,-2.1
118.08,-2.8,-2.8,-2.4,-2.3
119.04,-2.7,-2.6,-2.2,-2.5
120,-2.5,-2.6,-2.2,-2.4
120.96,-2.7,-2.7,-2.5,-2.6
121.92,-3.1,-2.7,-2.4,-2.9
122.88,-2.3,-2.4,-2,-1.8
123.84,-3.1,-3.1,-2.9,-3.3
124.8,-3.2,-2.7,-2.5,-3.6
125.76,-2.8,-2.5,-2.2,-2.7
126.72,-2.3,-2.2,-1.9,-2.1
127.68,-2.3,-2.3,-2.2,-2.5
128.64,-1.9,-1.7,-1.8,-1.7
129.6,-2.6,-2.3,-2.4,-2.6
130.56,-2.9,-2.4,-2.4,-2.7
131.52,-2.8,-2.4,-2,-2.6
132.48,-2.4,-2.5,-2.4,-2.5
133.44,-1.9,-2.3,-2.1,-2.1
134.4,-1.9,-2.3,-1.9,-1.8
135.36,-1.8,-2.2,-1.8,-1.8
136.32,-2.4,-2.9,-2.4,-2.2
137.28,-2.4,-2.6,-2.4,-2.2
138.24,-2.4,-2.9,-2.5,-2.5
139.2,-2,-2.4,-2,-2.2
140.16,-2.1,-2.5,-1.9,-2.1
141.12,-2.2,-2.5,-2.2,-2.4
142.08,-1.9,-2.4,-1.9,-1.8
143.04,-1.9,-2.1,-1.8,-1.9
144,-2.2,-2.5,-2.1,-2.2
144.96,-1.8,-2.3,-1.9,-2.2
145.92,-1.8,-2.3,-2.1,-2.1
146.88,-2,-2.3,-2.2,-2
147.84,-2.9,-2.8,-3.1,-2.9
148.8,-2.5,-2.8,-2.5,-2.8
149.76,-2.4,-2.9,-2.6,-2.6
150.72,-2.6,-2.8,-2.7,-2.6
151.68,-3.6,-3.3,-3.5,-4
152.64,-3.2,-2.9,-3.2,-3.7
153.6,-2.9,-3,-2.8,-3.6
154.56,-3.1,-3,-2.5,-3.7
155.52,-3.1,-2.4,-2.6,-3.6
156.48,-2.6,-2.5,-2.2,-2.7
157.44,-3.4,-3.1,-2.9,-3.5
158.4,-3.7,-3.1,-2.9,-3.6
159.36,-3.5,-3.1,-2.7,-3.3
160.32,-2.9,-2.5,-2.2,-2.9
161.28,-2.7,-2.8,-2.5,-2.7
162.24,-2.7,-2.6,-1.8,-2.2
163.2,-2.7,-2.4,-2.4,-2.8
164.16,-2.5,-2.3,-2.4,-2.8
165.12,-2.7,-2.3,-2.6,-2.8
166.08,-2.8,-2.9,-2.3,-2.5
167.04,-2.6,-2.8,-2.4,-2.5
168,-2.2,-2.7,-1.9,-2.3
168.96,-3.1,-2.7,-2.2,-3.3
169.92,-2.9,-2.6,-2.3,-2.8
170.88,-4.1,-3.4,-3,-3.5
171.84,-2.8,-2.6,-2.1,-2.7
172.8,-3.6,-3.4,-3,-3.4
173.76,-2.8,-2.6,-2,-2.3
174.72,-2.7,-2.3,-2.3,-2.4
175.68,-2.6,-2.2,-1.6,-1.9
176.64,-2.9,-2.7,-2.2,-2.6
177.6,-2.5,-1.9,-2,-1.9
178.56,-2.1,-1.9,-1.7,-2
179.52,-2,-1.9,-1.8,-1.9
180.48,-2.5,-2.6,-2.6,-2.7
181.44,-2.2,-2,-1.9,-1.9
182.4,-1.7,-2,-1.6,-2
183.36,-1.8,-2,-2,-1.9
184.32,-2,-2.3,-2,-1.9
185.28,-2.1,-2.6,-2.4,-2.5
186.24,-2.2,-2.4,-2.1,-2.4
187.2,-2.4,-2.5,-2.3,-2.4
188.16,-2.1,-2.4,-2,-2.4
189.12,-2.1,-2.4,-2.3,-2.4
190.08,-2.5,-2.4,-2.5,-2.5
191.04,-2.3,-2.4,-2.5,-2.5
192,-1.9,-1.9,-1.9,-1.9
192.96,-2,-2.3,-1.9,-2.1
193.92,-2.6,-2.6,-2.5,-2.4
194.88,-1.8,-2.2,-1.9,-1.8
195.84,-2.2,-2.5,-2.4,-2.3
196.8,-2,-2.5,-2.2,-2.4
197.76,-1.8,-2.3,-1.9,-2
198.72,-2.6,-2.8,-2.7,-2.7
199.68,-2.8,-2.4,-1.6,-2.2
200.64,-1.8,-2.1,-1.7,-1.7
201.6,-2,-2.7,-2.4,-2.5
202.56,-2.2,-2.4,-2.2,-1.9
203.52,-2.2,-2.4,-2.3,-2.4
204.48,-1.8,-2.3,-1.9,-2.2
205.44,-2,-2.4,-2.1,-2.1
206.4,-2.4,-2.6,-2.1,-2.1
207.36,-2.2,-2.4,-2.1,-2
208.32,-2.1,-2.3,-2.1,-2.1
209.28,-2.3,-2.3,-2,-2
210.24,-1.8,-2.1,-1.8,-2
211.2,-2.5,-2.5,-2.3,-2.6
212.16,-2.2,-2.5,-2.2,-2.1
213.12,-2.2,-2.1,-1.8,-1.6
214.08,-2.4,-2.5,-2.6,-2.2
215.04,-3.1,-2.8,-2.3,-3.4
216,-3.1,-2.8,-2.4,-3
216.96,-2.8,-2.8,-2.5,-2.5
217.92,-3.3,-3,-2.8,-2.8
218.88,-3.5,-3.1,-2.7,-3.3
219.84,-2.5,-2.4,-1.8,-1.6
220.8,-1.7,-1.8,-1.4,-1.5
221.76,-4.3,-4,-3.5,-3.9
222.72,-2.8,-2.5,-2.2,-2.6
223.68,-2.6,-2.4,-2.3,-2.2
224.64,-2.8,-2.2,-1.6,-2.5
225.6,-2.9,-2.7,-2.8,-2.9
226.56,-2.1,-2.4,-2.3,-2.5
227.52,-2.6,-2.6,-2.5,-2.5
228.48,-2.5,-2.6,-2.6,-2.6
229.44,-2.4,-2,-2,-2
230.4,-2.8,-2.7,-2.6,-2.8
231.36,-2.8,-2.2,-1.9,-2.3
232.32,-2.2,-2.3,-2.2,-2.1
233.28,-2.1,-2.5,-2.3,-2.4
234.24,-1.9,-1.9,-1.5,-1.7
235.2,-2.2,-2.4,-2.1,-2.2
236.16,-1.9,-2.4,-2.1,-2.2
237.12,-2.2,-2.4,-2.2,-2.1
238.08,-2.1,-2.3,-1.8,-2.2
239.04,-1.7,-2,-1.8,-2.1
240,-2,-2.2,-1.8,-2
240.96,-2.1,-2.4,-2.1,-2.3
241.92,-1.4,-2.1,-1.4,-1.9
242.88,-2.5,-2.4,-2.3,-2.2
243.84,-2.1,-2.3,-2.1,-2.3
244.8,-2.3,-2.3,-2.3,-2.3
245.76,-2.1,-2.5,-2.2,-2.4
246.72,-2.4,-2.4,-2.2,-2.4
247.68,-2.4,-2.3,-2.3,-2.4
248.64,-2,-2.2,-2.1,-2.3
249.6,-1.9,-2.6,-2.1,-2.1
250.56,-1.6,-1.9,-1.3,-1.9
251.52,-1.6,-2.1,-1.6,-1.7
252.48,-2.1,-2.6,-2.2,-2.3
253.44,-2.2,-2.8,-2.6,-2.7
254.4,-2,-2.3,-2,-2
255.36,-2.2,-2.4,-2.1,-2
256.32,-2.4,-2.5,-2.2,-2.1
257.28,-2.2,-2.7,-2.3,-2.4
258.24,-1.9,-2.4,-2.2,-2
259.2,-1.9,-2.4,-2.1,-1.8
260.16,-1.8,-2.4,-2,-2.1
261.12,-2,-2.5,-2,-2
262.08,-2.1,-2.4,-2.3,-2.2
263.04,-2.5,-2.2,-2.3,-2.2
264,-1.8,-1.9,-1.6,-1.7
264.96,-1.9,-2.4,-2,-1.8
265.92,-3,-2.7,-2.3,-3.2
266.88,-3,-2.6,-2,-2.4
267.84,-2.4,-2.2,-2.1,-1.9
268.8,-2.6,-2.4,-1.9,-1.8
269.76,-1.9,-2.1,-1.8,-1.9
270.72,-2.1,-2.5,-2.1,-2.2
271.68,-2.3,-2.6,-2.2,-2.3
272.64,-2.1,-2.6,-2,-2
273.6,-2.1,-2.7,-2.3,-2.3
274.56,-2,-2.4,-2.1,-2
275.52,-1.6,-2,-1.6,-1.9
276.48,-2.1,-2.3,-2.3,-2.3
277.44,-2.3,-2.2,-2.5,-2.7
278.4,-2.4,-2.3,-2.1,-2.4
279.36,-2.5,-2.7,-2.3,-2.6
280.32,-2.6,-2.7,-2.5,-2.4
281.28,-3,-3,-2.2,-2.8
282.24,-3.3,-2.8,-2.4,-2.7
283.2,-3.4,-3.1,-2.2,-3
284.16,-2.5,-2.5,-2,-2.3
285.12,-3.5,-3.3,-2.5,-3.1
286.08,-2.8,-2.4,-2.2,-2.6
287.04,-3.1,-2.7,-2.5,-3
288,-2.6,-2.4,-1.9,-2
288.96,-2.6,-2.1,-2,-2.1
289.92,-3.1,-3,-3,-3.4
290.88,-3.3,-2.4,-2.5,-3
291.84,-3.7,-2.9,-2.8,-3.4
292.8,-3,-2.3,-2.1,-2.5
293.76,-2.3,-2,-1.8,-2
294.72,-2.6,-2,-2.2,-2.6
295.68,-2.3,-2.4,-2.4,-2.4
296.64,-2,-2.3,-1.9,-2.1
297.6,-2.3,-2.6,-2.2,-2.3
298.56,-2.4,-2.7,-2.7,-2.8
299.52,-1.5,-2,-1.5,-1.8
