start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-1.9,-1.9,-1.8,-1.3
0.96,-3,-2.8,-2.5,-2.4
1.92,-2.4,-2.8,-2.5,-2.6
2.88,-2.6,-2.6,-2.4,-2.2
3.84,-2.6,-2.3,-2.3,-1.9
4.8,-2.9,-3,-2.3,-2
5.76,-2.6,-2.8,-2.5,-2.3
6.72,-2.8,-2.8,-2.1,-1.7
7.68,-2.6,-3.2,-2.4,-2.2
8.64,-2.9,-2.6,-2,-1.8
9.6,-2.5,-2.7,-2.3,-2.3
10.56,-2.7,-2.1,-2.3,-2.2
11.52,-3.3,-3.1,-2.7,-2.2
12.48,-3.3,-3.1,-2.8,-2.6
13.44,-2.2,-2.7,-2.3,-2.3
14.4,-2.7,-2.2,-2.3,-2.5
15.36,-3.6,-3.2,-3.4,-2.5
16.32,-2.9,-2.8,-2.6,-2.4
17.28,-2.3,-2.5,-2.2,-2.1
18.24,-3.2,-3,-3,-2.6
19.2,-3.9,-3.6,-3.6,-3.2
20.16,-3,-3,-2.4,-2.2
21.12,-3.2,-3,-2.9,-2.5
22.08,-2.7,-3,-2.2,-2.6
23.04,-3.3,-3.2,-2.6,-3
24,-2.9,-2.8,-2.7,-2.4
24.96,-3.5,-3.4,-3.1,-3.1
25.92,-4,-4.3,-3.6,-3.3
26.88,-3.6,-3.5,-3.3,-2.8
27.84,-3.5,-3.4,-3.2,-2.8
28.8,-3.3,-3,-3,-2.7
29.76,-3.5,-3.2,-3.3,-2.6
30.72,-3.2,-3,-2.9,-2.8
31.68,-3.5,-3.2,-3.1,-2.8
32.64,-3.3,-3.1,-2.7,-2.7
33.6,-3.4,-3.2,-3.3,-3.5
34.56,-3.1,-2.7,-2.9,-2.7
35.52,-2.3,-2,-1.7,-2.2
36.48,-3.6,-3.5,-3.2,-2.9
37.44,-3.9,-3.7,-3.3,-3.7
38.4,-3.1,-2.7,-2.9,-2.8
39.36,-3.5,-3.3,-3.6,-3.2
40.32,-3.6,-3.4,-3.4,-3.3
41.28,-3.6,-3.3,-3.6,-3.2
42.24,-3.6,-3.5,-3.4,-2.5
43.2,-3.5,-3.5,-3.1,-3.2
44.16,-2.7,-2.6,-2.2,-2.3
45.12,-2.5,-2.5,-2.1,-2.4
46.08,-3.2,-3,-2.7,-3
47.04,-3.9,-4,-3.8,-3.6
48,-3.6,-3.1,-3.2,-2.7
48.96,-3,-2.8,-2.6,-2
49.92,-3.3,-3.2,-2.6,-2.5
50.88,-3,-3.1,-3,-2.5
51.84,-3.8,-3.3,-3.4,-3.1
52.8,-3.2,-2.8,-2.9,-2.6
53.76,-3.5,-3,-3.2,-2.4
54.72,-3.3,-3.3,-3,-2.7
55.68,-3.6,-3.4,-3.5,-3.1
56.64,-3.3,-3.1,-3.1,-3
57.6,-3.1,-2.7,-2.8,-2.4
58.56,-2.9,-2.7,-2.5,-2.6
59.52,-3.2,-2.9,-2.9,-2.6
60.48,-3.4,-3.1,-2.9,-3.2
61.44,-3.7,-3.3,-3.4,-2.9
62.4,-3.6,-3.1,-3.4,-2.9
63.36,-4,-3.7,-3.7,-3.2
64.32,-3.2,-3,-3,-3
65.28,-3,-2.9,-2.8,-3.2
66.24,-3.6,-3.4,-3.4,-3.1
67.2,-3.5,-3.2,-3.3,-3.1
68.16,-2.9,-2.8,-2.6,-2.3
69.12,-3.4,-3.1,-3.2,-3
70.08,-2.9,-2.7,-2.6,-2.5
71.04,-3.5,-3.5,-2.7,-3
72,-2.9,-2.6,-2.5,-2.5
72.96,-3,-2.7,-2.5,-2.8
73.92,-2.9,-2.6,-2.6,-2.7
74.88,-2.6,-2.4,-2.3,-2.5
75.84,-2.8,-2.6,-2.5,-2.6
76.8,-3.5,-3.3,-3.1,-3
77.76,-2.9,-2.7,-2.6,-2.8
78.72,-3.2,-2.6,-2.9,-3
79.68,-3,-2.9,-2.8,-2.9
80.64,-3.7,-3.3,-3.4,-3
81.6,-3,-2.7,-2.5,-3
82.56,-3,-3,-2.8,-2.8
83.52,-2.9,-2.5,-2.5,-2.4
84.48,-3.6,-3.2,-3.2,-3.2
85.44,-3.5,-3.4,-3.5,-3.6
86.4,-3.1,-3,-2.9,-2.8
87.36,-3.4,-3.1,-3.4,-3.1
88.32,-3,-2.9,-3,-2.9
89.28,-3.4,-2.9,-3,-2.6
90.24,-3.4,-3.5,-3.4,-3.5
91.2,-3.6,-3.2,-3.2,-3
92.16,-3.5,-3.2,-3.3,-3.3
93.12,-2.8,-2.5,-2.6,-2.6
94.08,-3.1,-3,-3,-2.5
95.04,-2.8,-2.6,-2.4,-2.6
96,-3.4,-3.2,-3.3,-2.9
96.96,-3.9,-3.5,-3.7,-3.3
97.92,-2.9,-2.4,-2.5,-2.7
98.88,-3.2,-2.9,-2.7,-2.9
99.84,-2.9,-2.5,-2.4,-2.3
100.8,-2.9,-2.6,-2.6,-3
101.76,-3.9,-3.5,-3.6,-3
102.72,-3,-3,-3,-3
