start_filetime,activation_ins_trill,activation_mech_plane,activation_ambient_rain,activation_ins_buzz
0,-2.1,-2.4,-2.3,-2
0.96,-1.5,-2,-1.7,-1.6
1.92,-1.4,-1.9,-1.4,-1.6
2.88,-2.2,-2.3,-2,-2
3.84,-1.6,-2.1,-1.6,-1.7
4.8,-2.4,-2.6,-2.3,-2.1
5.76,-1.9,-2.2,-2,-2
6.72,-1.7,-2.2,-1.6,-1.6
7.68,-1.9,-2.1,-1.9,-1.7
8.64,-1.7,-2.1,-1.9,-1.7
9.6,-1.5,-2.2,-1.6,-1.9
10.56,-2.2,-2.4,-2.1,-2
11.52,-2.6,-2.8,-2.5,-2.5
12.48,-1.6,-2.4,-1.7,-2
13.44,-1.4,-2,-1.5,-1.6
14.4,-2.9,-2.9,-3,-2.9
15.36,-2.2,-2.3,-1.9,-1.8
16.32,-1.3,-2.1,-1.6,-1.9
17.28,-1.4,-2.2,-1.4,-1.9
18.24,-1.8,-2.1,-1.8,-1.8
19.2,-2.8,-2.4,-2.6,-2.5
20.16,-2.1,-2.3,-2.3,-2.1
21.12,-2.8,-2.7,-2.6,-2.4
22.08,-2.4,-2.3,-2.2,-2.2
23.04,-1.4,-2,-1.6,-1.6
24,-1.6,-2.2,-1.8,-1.8
24.96,-1.8,-2.3,-1.9,-1.8
25.92,-2.4,-2.5,-2.5,-2.5
26.88,-2.6,-2.9,-2.6,-2.5
27.84,-1.9,-2.2,-2,-2
28.8,-1.7,-2.3,-2.1,-2.2
29.76,-2.3,-2.5,-2.5,-2.4
30.72,-1.6,-2.3,-1.8,-2
31.68,-2,-2.4,-2.2,-2.1
32.64,-1.4,-2,-1.7,-1.8
33.6,-2.4,-2.5,-2.2,-2.3
34.56,-1.8,-2.1,-1.9,-1.7
35.52,-2.4,-2.4,-2.1,-2.1
36.48,-2.8,-2.8,-2.5,-2.5
37.44,-2,-2.3,-2.2,-2.1
38.4,-1.8,-2.5,-1.8,-2.1
39.36,-1.4,-2,-1.4,-1.8
40.32,-1.6,-2.4,-1.7,-2
41.28,-2.8,-2.8,-2.8,-2.9
42.24,-2.4,-2.6,-2.3,-2.1
43.2,-1.9,-2.2,-2,-2
44.16,-1.9,-2.4,-2.1,-1.9
45.12,-1.8,-2.2,-1.9,-2.1
46.08,-1.8,-2.1,-1.7,-1.8
47.04,-2.4,-2.4,-2.1,-1.8
48,-1.7,-2.3,-1.9,-2
48.96,-2.5,-2.6,-2.3,-2
49.92,-2,-2.1,-2.1,-1.8
50.88,-1.7,-2.2,-1.7,-1.6
51.84,-1.8,-2,-1.7,-1.4
52.8,-1.9,-2.3,-2.1,-1.8
53.76,-1.6,-2.2,-1.7,-1.9
54.72,-1.5,-2,-1.5,-1.7
55.68,-1.9,-2.2,-1.9,-1.9
56.64,-1.4,-2.1,-1.6,-1.9
57.6,-1.6,-2.3,-1.8,-1.8
58.56,-1.4,-2.4,-1.6,-2
59.52,-1.8,-2.5,-1.7,-1.8
60.48,-1.5,-2.3,-1.8,-2.1
61.44,-1.5,-2.2,-1.9,-2
62.4,-1.4,-2.3,-1.6,-1.8
63.36,-1.8,-2.4,-1.7,-1.6
64.32,-1.5,-2,-1.7,-1.5
65.28,-1.7,-2.4,-2.1,-2.2
66.24,-1.8,-2.1,-2.1,-1.8
67.2,-1.9,-2.4,-2.4,-2.2
68.16,-1.7,-2.4,-2,-2.1
69.12,-1.7,-2.2,-2,-2.1
70.08,-1.5,-2.4,-1.9,-2
71.04,-1.5,-2.4,-1.9,-2
72,-1.4,-2.1,-1.8,-1.8
72.96,-1.7,-2.4,-1.8,-2
73.92,-1.5,-2.3,-2,-2
74.88,-1.3,-2,-1.4,-1.7
75.84,-1.6,-2.4,-2.2,-2.1
76.8,-2,-2.4,-2.3,-2.2
77.76,-1.4,-2.1,-1.6,-1.7
78.72,-1.2,-1.9,-1.6,-1.7
79.68,-1.7,-2.2,-2,-2
80.64,-1.6,-1.9,-1.6,-1.6
81.6,-1.7,-2,-1.8,-1.7
82.56,-2.2,-2.5,-2.1,-2.2
83.52,-1.7,-2.3,-1.7,-1.9
84.48,-1.7,-2.2,-1.8,-1.7
85.44,-1.9,-2.4,-2.3,-2
86.4,-2.2,-2.7,-2.3,-2.2
87.36,-1.8,-2.1,-2,-2
88.32,-2,-2.4,-2,-2.2
89.28,-2.7,-2.7,-2.7,-2.5
90.24,-2.3,-2.6,-2.6,-2.8
91.2,-1.5,-1.9,-1.8,-1.6
92.16,-2.5,-2.6,-2.3,-2.2
93.12,-1.9,-2.2,-2,-1.8
94.08,-2.8,-2.7,-2.8,-3
95.04,-1.8,-1.9,-1.8,-1.8
96,-2.2,-2.4,-2.3,-2.1
96.96,-1.5,-1.9,-1.6,-1.5
97.92,-2.6,-2.6,-2.7,-2.6
98.88,-2,-2.2,-1.8,-1.8
99.84,-2.4,-2.9,-2.9,-3
100.8,-2.7,-2.7,-2.8,-3
101.76,-2.4,-2.4,-2.1,-2.6
102.72,-2.7,-2.5,-2.5,-2.6
103.68,-2.6,-2.7,-2.9,-2.7
104.64,-2.7,-2.5,-2.4,-2.6
105.6,-1.6,-2.2,-1.8,-1.9
106.56,-2.3,-2.6,-2.5,-2.8
107.52,-2,-2.4,-2.1,-2
108.48,-2.2,-2.4,-2.4,-2.3
109.44,-2.2,-2.4,-2.1,-2.2
110.4,-2.5,-2.7,-3,-2.9
111.36,-2,-2.3,-2.2,-2
112.32,-2.8,-2.4,-2.9,-2.6
113.28,-2.8,-2.5,-2.9,-2.9
